Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,6.166235868750001
1,2040-2059,6.4790035
1,2060-2079,7.1618239062499995
1,2080-2099,7.831072562500001
2,2020-2039,6.717843081249998
2,2040-2059,7.224918250000001
2,2060-2079,7.9500734500000005
2,2080-2099,8.42948800625
3,2020-2039,10.078633343749999
3,2040-2059,10.656208499999998
3,2060-2079,11.208135156249998
3,2080-2099,11.801983500000002
4,2020-2039,14.842783375000003
4,2040-2059,15.3447611875
4,2060-2079,15.76834325
4,2080-2099,16.485993093750004
5,2020-2039,19.48835025
5,2040-2059,19.9642965625
5,2060-2079,20.5618283125
5,2080-2099,21.199665062499996
6,2020-2039,23.161874437500003
6,2040-2059,23.5156823125
6,2060-2079,24.3074436875
6,2080-2099,25.029394625000005
7,2020-2039,25.767567999999997
7,2040-2059,26.228065375000003
7,2060-2079,27.069215874999998
7,2080-2099,27.705978062499998
8,2020-2039,27.062162187499997
8,2040-2059,27.501898937500005
8,2060-2079,28.252168937500006
8,2080-2099,28.889042500000002
9,2020-2039,24.749749062499998
9,2040-2059,25.231305812500004
9,2060-2079,25.959156750000002
9,2080-2099,26.6928320625
10,2020-2039,19.814988937499997
10,2040-2059,20.3945786875
10,2060-2079,21.02780525
10,2080-2099,21.800951625000003
11,2020-2039,14.215813749999999
11,2040-2059,14.72163303125
11,2060-2079,15.2704640625
11,2080-2099,16.01386134375
12,2020-2039,8.997518275
12,2040-2059,9.55282185
12,2060-2079,10.176639250000001
12,2080-2099,10.843223912500001
