Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,9.785748225
1,2040-2059,10.370455062500001
1,2060-2079,10.695407625
1,2080-2099,11.169070625000002
2,2020-2039,10.243426018749998
2,2040-2059,10.83867190625
2,2060-2079,11.42525621875
2,2080-2099,11.663073062499999
3,2020-2039,12.35037625
3,2040-2059,13.14957315625
3,2060-2079,13.601417062500001
3,2080-2099,14.010959875
4,2020-2039,15.77825896875
4,2040-2059,16.631125687500003
4,2060-2079,16.8892880625
4,2080-2099,17.60663715625
5,2020-2039,20.171199
5,2040-2059,20.7149338125
5,2060-2079,21.420751999999997
5,2080-2099,22.224270812500002
6,2020-2039,25.015936625
6,2040-2059,25.654865124999997
6,2060-2079,26.401096625000005
6,2080-2099,27.172999
7,2020-2039,28.3689015625
7,2040-2059,29.148960499999998
7,2060-2079,29.895658062499997
7,2080-2099,30.857774125000002
8,2020-2039,28.205305437499998
8,2040-2059,29.009860624999998
8,2060-2079,29.899091437500005
8,2080-2099,30.9594398125
9,2020-2039,23.975370875
9,2040-2059,24.770409937499995
9,2060-2079,25.579797624999998
9,2080-2099,26.467218250000002
10,2020-2039,18.576299
10,2040-2059,19.294142124999997
10,2060-2079,19.7319635625
10,2080-2099,20.5366923125
11,2020-2039,13.995213875
11,2040-2059,14.4598308125
11,2060-2079,14.8962141875
11,2080-2099,15.694626687499998
12,2020-2039,10.941963937499999
12,2040-2059,11.564587687500001
12,2060-2079,11.994530125
12,2080-2099,12.64766003125
