Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,31.2433581875
1,2040-2059,31.698343187500004
1,2060-2079,32.062554812500004
1,2080-2099,32.59004031250001
2,2020-2039,32.141366875
2,2040-2059,32.53895024999999
2,2060-2079,32.92299518750001
2,2080-2099,33.4535591875
3,2020-2039,32.1518561875
3,2040-2059,32.5829895
3,2060-2079,32.94330825
3,2080-2099,33.595301000000006
4,2020-2039,31.325701624999997
4,2040-2059,31.7452606875
4,2060-2079,32.2313586875
4,2080-2099,32.7800859375
5,2020-2039,30.0480049375
5,2040-2059,30.498514437500006
5,2060-2079,31.005967062500005
5,2080-2099,31.520932562499997
6,2020-2039,28.710810562499997
6,2040-2059,29.1685093125
6,2060-2079,29.601335749999997
6,2080-2099,30.113132
7,2020-2039,27.61441525
7,2040-2059,28.043079624999994
7,2060-2079,28.4571546875
7,2080-2099,29.0339600625
8,2020-2039,27.104545749999996
8,2040-2059,27.470764062500002
8,2060-2079,27.905922999999994
8,2080-2099,28.404480874999997
9,2020-2039,27.4346009375
9,2040-2059,27.811694312500002
9,2060-2079,28.285433
9,2080-2099,28.805354625000003
10,2020-2039,28.3057326875
10,2040-2059,28.7019670625
10,2060-2079,29.133691375
10,2080-2099,29.641018562500005
11,2020-2039,29.564814124999998
11,2040-2059,29.946822937500006
11,2060-2079,30.456580687500004
11,2080-2099,30.908560500000004
12,2020-2039,30.226135624999994
12,2040-2059,30.680586812500003
12,2060-2079,31.13514775
12,2080-2099,31.583738312500003
