Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,12.518862718749999
1,2040-2059,13.112609218749999
1,2060-2079,13.54091309375
1,2080-2099,14.132086124999999
2,2020-2039,14.690765499999998
2,2040-2059,15.261503625000003
2,2060-2079,15.98226484375
2,2080-2099,16.406151843750003
3,2020-2039,18.649327375000002
3,2040-2059,19.494873937499996
3,2060-2079,20.13790875
3,2080-2099,20.714775125000003
4,2020-2039,23.755602875
4,2040-2059,24.311914375000004
4,2060-2079,24.8555495625
4,2080-2099,25.693312187500002
5,2020-2039,28.4936590625
5,2040-2059,29.236046187499998
5,2060-2079,29.941503375
5,2080-2099,30.855120374999995
6,2020-2039,34.2441519375
6,2040-2059,34.96509824999999
6,2060-2079,35.678339625
6,2080-2099,36.59399225000001
7,2020-2039,38.178564
7,2040-2059,38.8924825
7,2060-2079,39.6635090625
7,2080-2099,40.49433481249999
8,2020-2039,38.1588763125
8,2040-2059,38.784945687500006
8,2060-2079,39.752549437499994
8,2080-2099,40.493257625000005
9,2020-2039,33.4586008125
9,2040-2059,34.18044525
9,2060-2079,35.10733425
9,2080-2099,36.0625865
10,2020-2039,26.281137937499995
10,2040-2059,26.879124062499997
10,2060-2079,27.684970437500002
10,2080-2099,28.6844516875
11,2020-2039,18.6607071875
11,2040-2059,19.31515775
11,2060-2079,19.9162216875
11,2080-2099,20.825549250000005
12,2020-2039,13.5100195
12,2040-2059,14.07815140625
12,2060-2079,14.793646124999999
12,2080-2099,15.4486208125
