Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,1.4234813258749999
1,2040-2059,2.04582747750625
1,2060-2079,3.03674851875
1,2080-2099,3.887718275
2,2020-2039,3.3811357125
2,2040-2059,4.00031935625
2,2060-2079,4.834753243750001
2,2080-2099,5.74252595
3,2020-2039,7.442457118749999
3,2040-2059,8.121697375
3,2060-2079,8.96677728125
3,2080-2099,9.66073166875
4,2020-2039,12.972209093750001
4,2040-2059,13.573463562499999
4,2060-2079,14.35568
4,2080-2099,15.013036062500001
5,2020-2039,19.0686535625
5,2040-2059,19.639549812500004
5,2060-2079,20.3868775
5,2080-2099,21.204396874999997
6,2020-2039,24.397770875
6,2040-2059,24.972283124999997
6,2060-2079,25.865892375
6,2080-2099,26.64311975
7,2020-2039,27.412184125000003
7,2040-2059,28.0430921875
7,2060-2079,28.872313125
7,2080-2099,29.6005745
8,2020-2039,26.405291062499998
8,2040-2059,27.033098499999998
8,2060-2079,27.8892688125
8,2080-2099,28.6424933125
9,2020-2039,21.4530463125
9,2040-2059,22.1390245625
9,2060-2079,23.0000706875
9,2080-2099,23.7461091875
10,2020-2039,14.460146125
10,2040-2059,14.955989406250003
10,2060-2079,15.913744500000002
10,2080-2099,16.7127256875
11,2020-2039,7.29828053125
11,2040-2059,7.90752971875
11,2060-2079,8.78130454375
11,2080-2099,9.488513162499999
12,2020-2039,2.5930746746875
12,2040-2059,3.2448069000000004
12,2060-2079,4.15458675625
12,2080-2099,4.93462535625
