Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,5.9520949000000005
1,2040-2059,6.4041164875
1,2060-2079,7.16556855625
1,2080-2099,7.535993562500001
2,2020-2039,8.571722418750001
2,2040-2059,9.19305804375
2,2060-2079,9.98240123125
2,2080-2099,10.49617119375
3,2020-2039,14.188704812500001
3,2040-2059,15.046078062500001
3,2060-2079,15.7007388125
3,2080-2099,16.6008711875
4,2020-2039,21.70393325
4,2040-2059,22.239213562500005
4,2060-2079,23.0274154375
4,2080-2099,23.6663303125
5,2020-2039,28.9058465
5,2040-2059,29.75329225
5,2060-2079,30.417739562500003
5,2080-2099,30.989312437499997
6,2020-2039,34.90970825
6,2040-2059,35.36135775
6,2060-2079,36.271466562499995
6,2080-2099,37.0658081875
7,2020-2039,37.4739896875
7,2040-2059,37.962571000000004
7,2060-2079,38.97097125
7,2080-2099,39.842039
8,2020-2039,35.702952437499995
8,2040-2059,36.4121321875
8,2060-2079,37.23216175
8,2080-2099,37.914900499999995
9,2020-2039,29.140765625000004
9,2040-2059,29.9212485625
9,2060-2079,30.7020500625
9,2080-2099,31.422200437500003
10,2020-2039,20.686581499999996
10,2040-2059,21.2609559375
10,2060-2079,22.155112375
10,2080-2099,22.763386437499996
11,2020-2039,12.417851
11,2040-2059,13.0194869375
11,2060-2079,13.758836187499998
11,2080-2099,14.489527687500003
12,2020-2039,6.8657001
12,2040-2059,7.5571297062500005
12,2060-2079,8.423988906249999
12,2080-2099,8.851535475
