Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,25.409398937499997
1,2040-2059,25.768196125000003
1,2060-2079,26.1307016875
1,2080-2099,26.546465124999997
2,2020-2039,25.175581875
2,2040-2059,25.513552937500005
2,2060-2079,25.86217525
2,2080-2099,26.255781749999993
3,2020-2039,25.383598500000005
3,2040-2059,25.691781124999995
3,2060-2079,26.068163124999998
3,2080-2099,26.470026124999997
4,2020-2039,25.8154926875
4,2040-2059,26.120983937499997
4,2060-2079,26.484700062500004
4,2080-2099,26.888222812499997
5,2020-2039,26.275744875
5,2040-2059,26.572804437500004
5,2060-2079,26.935428437499997
5,2080-2099,27.310000875
6,2020-2039,26.754238625000003
6,2040-2059,27.073404812500005
6,2060-2079,27.438908499999997
6,2080-2099,27.846515250000003
7,2020-2039,27.256986437499997
7,2040-2059,27.623574812499992
7,2060-2079,28.009931312499997
7,2080-2099,28.4154968125
8,2020-2039,27.747251375
8,2040-2059,28.114845062500002
8,2060-2079,28.530683375000002
8,2080-2099,28.958193000000005
9,2020-2039,27.9362730625
9,2040-2059,28.304122562500005
9,2060-2079,28.720033625000003
9,2080-2099,29.176549874999996
10,2020-2039,27.692587375
10,2040-2059,28.055244374999997
10,2060-2079,28.472381374999994
10,2080-2099,28.910638312499994
11,2020-2039,27.067511875000005
11,2040-2059,27.423119437499995
11,2060-2079,27.8369403125
11,2080-2099,28.235518125
12,2020-2039,26.158263937500003
12,2040-2059,26.5261803125
12,2060-2079,26.894992000000002
12,2080-2099,27.3075349375
