Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,25.206061125
1,2040-2059,25.787407062500005
1,2060-2079,26.53175575
1,2080-2099,27.217942937500002
2,2020-2039,24.856343312499998
2,2040-2059,25.4162854375
2,2060-2079,26.152627499999998
2,2080-2099,26.810557375000002
3,2020-2039,24.864256687500006
3,2040-2059,25.437483562499995
3,2060-2079,26.146074499999997
3,2080-2099,26.80802075
4,2020-2039,25.1893571875
4,2040-2059,25.7949985625
4,2060-2079,26.4814365625
4,2080-2099,27.135977874999995
5,2020-2039,25.789707812499998
5,2040-2059,26.364199375
5,2060-2079,27.04460525
5,2080-2099,27.672124562500002
6,2020-2039,26.473981249999998
6,2040-2059,27.0039849375
6,2060-2079,27.7313136875
6,2080-2099,28.336937374999998
7,2020-2039,27.0799241875
7,2040-2059,27.635814749999998
7,2060-2079,28.380592375
7,2080-2099,28.995649375000003
8,2020-2039,27.547307625000006
8,2040-2059,28.152035249999994
8,2060-2079,28.917400000000004
8,2080-2099,29.553123624999998
9,2020-2039,27.7454243125
9,2040-2059,28.3722089375
9,2060-2079,29.138044625
9,2080-2099,29.81884162499999
10,2020-2039,27.5249765
10,2040-2059,28.132016874999998
10,2060-2079,28.9286310625
10,2080-2099,29.620063750000003
11,2020-2039,26.86142925
11,2040-2059,27.448785937499995
11,2060-2079,28.22353975
11,2080-2099,28.9383686875
12,2020-2039,25.976692937499998
12,2040-2059,26.572351
12,2060-2079,27.304482312500003
12,2080-2099,28.00691075
