Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,11.413962843750001
1,2040-2059,12.20936934375
1,2060-2079,13.132347718750001
1,2080-2099,13.904246937500002
2,2020-2039,11.99277184375
2,2040-2059,12.71999228125
2,2060-2079,13.655628625
2,2080-2099,14.714988937500003
3,2020-2039,14.096636656249999
3,2040-2059,14.913680500000002
3,2060-2079,15.738645687500002
3,2080-2099,16.912766875
4,2020-2039,17.169003125
4,2040-2059,18.1870948125
4,2060-2079,19.11621225
4,2080-2099,20.298848937499997
5,2020-2039,21.428081499999998
5,2040-2059,22.518755250000005
5,2060-2079,23.7379575
5,2080-2099,25.213339187499997
6,2020-2039,26.411519
6,2040-2059,27.560071812499995
6,2060-2079,29.113491375
6,2080-2099,30.6421881875
7,2020-2039,29.7686913125
7,2040-2059,31.311514250000002
7,2060-2079,32.7262873125
7,2080-2099,34.550120937500004
8,2020-2039,29.852629999999994
8,2040-2059,31.327261312500003
8,2060-2079,32.8715335
8,2080-2099,34.5359216875
9,2020-2039,25.578570312500002
9,2040-2059,26.8337215625
9,2060-2079,28.186581375
9,2080-2099,29.857980250000004
10,2020-2039,20.2240380625
10,2040-2059,21.142260999999998
10,2060-2079,22.2882515
10,2080-2099,23.6493510625
11,2020-2039,15.558971499999998
11,2040-2059,16.3865745625
11,2060-2079,17.40619325
11,2080-2099,18.3569898125
12,2020-2039,12.802140687499998
12,2040-2059,13.43331090625
12,2060-2079,14.343198718750001
12,2080-2099,15.1964521875
