Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,20.5870120625
1,2040-2059,21.621069562500004
1,2060-2079,22.498394312500004
1,2080-2099,23.430415625
2,2020-2039,23.064282375000005
2,2040-2059,23.813015000000004
2,2060-2079,24.934218375
2,2080-2099,26.031739937500003
3,2020-2039,27.237257875
3,2040-2059,28.279628312499998
3,2060-2079,28.988984499999997
3,2080-2099,30.436030062500002
4,2020-2039,31.638671625000004
4,2040-2059,32.4847964375
4,2060-2079,33.61649225
4,2080-2099,34.7099320625
5,2020-2039,35.3440856875
5,2040-2059,36.42175575
5,2060-2079,37.62941775
5,2080-2099,38.617032187499994
6,2020-2039,38.957145937499995
6,2040-2059,39.970289
6,2060-2079,41.160273375
6,2080-2099,42.6436965625
7,2020-2039,40.458438625
7,2040-2059,41.6989765625
7,2060-2079,43.16667224999999
7,2080-2099,44.55158
8,2020-2039,40.096253375
8,2040-2059,41.28140656250001
8,2060-2079,42.775591375
8,2080-2099,44.084306000000005
9,2020-2039,37.01926162499999
9,2040-2059,38.02904175
9,2060-2079,39.429211625
9,2080-2099,40.58554093749999
10,2020-2039,31.854907062499997
10,2040-2059,33.0699986875
10,2060-2079,34.3055381875
10,2080-2099,35.3386803125
11,2020-2039,25.807534625000002
11,2040-2059,27.110776625
11,2060-2079,28.088145312500004
11,2080-2099,29.2577968125
12,2020-2039,21.554106625
12,2040-2059,22.375230625
12,2060-2079,23.509975249999997
12,2080-2099,24.6347219375
