Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,2.7535902453125
1,2040-2059,3.6866273593749996
1,2060-2079,4.6738360750000005
1,2080-2099,5.867836875
2,2020-2039,4.29752820625
2,2040-2059,5.228055500000001
2,2060-2079,6.30610615
2,2080-2099,7.530711975000001
3,2020-2039,8.27252805625
3,2040-2059,9.3977924625
3,2060-2079,10.201706618750002
3,2080-2099,11.764841131250003
4,2020-2039,13.334655000000001
4,2040-2059,14.280885812500001
4,2060-2079,15.530122749999999
4,2080-2099,16.64815325
5,2020-2039,18.617520250000002
5,2040-2059,19.8552526875
5,2060-2079,20.769370499999997
5,2080-2099,22.200988124999995
6,2020-2039,23.604042062500003
6,2040-2059,25.1074806875
6,2060-2079,26.56186075
6,2080-2099,28.138041125
7,2020-2039,28.105932749999997
7,2040-2059,29.66326525
7,2060-2079,31.4145534375
7,2080-2099,33.117103625000006
8,2020-2039,27.9369809375
8,2040-2059,29.597893874999997
8,2060-2079,31.472692625
8,2080-2099,32.913262937499994
9,2020-2039,22.4456683125
9,2040-2059,24.169075125000003
9,2060-2079,25.7975649375
9,2080-2099,27.132414875000002
10,2020-2039,15.448760562500002
10,2040-2059,16.9036874375
10,2060-2079,18.055248218750002
10,2080-2099,19.6828535
11,2020-2039,8.80019528125
11,2040-2059,9.93557111875
11,2060-2079,10.8922235625
11,2080-2099,12.166346937499998
12,2020-2039,4.316421618750001
12,2040-2059,5.094755231250001
12,2060-2079,6.374811524999999
12,2080-2099,7.250296424999999
