Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,12.235682031249999
1,2040-2059,13.05694840625
1,2060-2079,13.9425771875
1,2080-2099,14.73309015625
2,2020-2039,12.79899628125
2,2040-2059,13.554970718749999
2,2060-2079,14.510965843749997
2,2080-2099,15.556623687499998
3,2020-2039,14.85983340625
3,2040-2059,15.7358275
3,2060-2079,16.56327984375
3,2080-2099,17.764734875
4,2020-2039,17.965078499999997
4,2040-2059,19.0035971875
4,2060-2079,19.986388500000004
4,2080-2099,21.220848875
5,2020-2039,22.3239554375
5,2040-2059,23.478351375000003
5,2060-2079,24.6629025625
5,2080-2099,26.083485749999994
6,2020-2039,27.379243187500002
6,2040-2059,28.552453062499996
6,2060-2079,30.032914749999996
6,2080-2099,31.5478104375
7,2020-2039,30.809841562500004
7,2040-2059,32.263396375
7,2060-2079,33.672652875
7,2080-2099,35.453856625
8,2020-2039,30.841946562500006
8,2040-2059,32.3225149375
8,2060-2079,33.7928763125
8,2080-2099,35.406143875000005
9,2020-2039,26.62998675
9,2040-2059,27.878305187500004
9,2060-2079,29.161047124999996
9,2080-2099,30.7842339375
10,2020-2039,21.2234164375
10,2040-2059,22.1867090625
10,2060-2079,23.301890937499998
10,2080-2099,24.621733749999997
11,2020-2039,16.54262109375
11,2040-2059,17.3827475625
11,2060-2079,18.357002562500004
11,2080-2099,19.328178875000003
12,2020-2039,13.66027215625
12,2040-2059,14.30068828125
12,2060-2079,15.204749125
12,2080-2099,16.04085659375
