Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,29.2564183125
1,2040-2059,29.96460225
1,2060-2079,30.816058125
1,2080-2099,31.636960375000005
2,2020-2039,30.036137
2,2040-2059,30.696368250000003
2,2060-2079,31.544386687500005
2,2080-2099,32.371440875000005
3,2020-2039,30.908680375
3,2040-2059,31.5660775
3,2060-2079,32.341286875
3,2080-2099,33.223923687500005
4,2020-2039,31.093777187500002
4,2040-2059,31.6417865625
4,2060-2079,32.434877625
4,2080-2099,33.22859149999999
5,2020-2039,30.047829625000006
5,2040-2059,30.678581375
5,2060-2079,31.462830312499992
5,2080-2099,32.259240625000004
6,2020-2039,29.164124187499997
6,2040-2059,29.8570384375
6,2060-2079,30.7913678125
6,2080-2099,31.769319125000003
7,2020-2039,30.274293937499998
7,2040-2059,30.946648249999996
7,2060-2079,31.9978136875
7,2080-2099,33.041570875
8,2020-2039,31.726889562500002
8,2040-2059,32.478655312499995
8,2060-2079,33.5484768125
8,2080-2099,34.569321125
9,2020-2039,32.6340625625
9,2040-2059,33.379209625
9,2060-2079,34.3936450625
9,2080-2099,35.407077125
10,2020-2039,32.7106924375
10,2040-2059,33.4414620625
10,2060-2079,34.3928665
10,2080-2099,35.352789812500006
11,2020-2039,31.5566913125
11,2040-2059,32.2673785625
11,2060-2079,33.1963798125
11,2080-2099,34.1671093125
12,2020-2039,29.6578715625
12,2040-2059,30.407133625
12,2060-2079,31.254441
12,2080-2099,32.2223466875
