Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,-1.1554897381249998
1,2040-2059,-0.08339803187499986
1,2060-2079,1.2489615125
1,2080-2099,2.6255170569375
2,2020-2039,0.7013553481249999
2,2040-2059,1.6580830675
2,2060-2079,3.1217105299999997
2,2080-2099,4.53321233125
3,2020-2039,6.65769796875
3,2040-2059,8.05706741875
3,2060-2079,9.40839905625
3,2080-2099,10.8610608125
4,2020-2039,15.5153268125
4,2040-2059,16.34699075
4,2060-2079,17.788311687500002
4,2080-2099,18.84796703125
5,2020-2039,23.619906874999998
5,2040-2059,24.598854062499996
5,2060-2079,25.555714937499996
5,2080-2099,26.752080125000003
6,2020-2039,29.815948750000004
6,2040-2059,30.773375812500003
6,2060-2079,32.086438812500006
6,2080-2099,33.25316575000001
7,2020-2039,32.4594505
7,2040-2059,33.669255375
7,2060-2079,35.186520375
7,2080-2099,36.5662599375
8,2020-2039,30.427503812499996
8,2040-2059,31.737955687499998
8,2060-2079,33.1350805625
8,2080-2099,34.67593275
9,2020-2039,23.390589124999998
9,2040-2059,24.516851437499998
9,2060-2079,25.9082665
9,2080-2099,27.351718625
10,2020-2039,14.075740812500001
10,2040-2059,15.272631468750001
10,2060-2079,16.275179031249998
10,2080-2099,17.853535875
11,2020-2039,5.71625509375
11,2040-2059,6.8242892125
11,2060-2079,8.0940968625
11,2080-2099,9.486434250000002
12,2020-2039,0.8583802075000001
12,2040-2059,1.7401786737500002
12,2060-2079,3.0300690787499995
12,2080-2099,4.39314754125
