Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,27.103522562500004
1,2040-2059,27.8855328125
1,2060-2079,28.756622875
1,2080-2099,29.6184528125
2,2020-2039,27.206992250000006
2,2040-2059,27.930094812500002
2,2060-2079,28.808127312499998
2,2080-2099,29.6523335
3,2020-2039,27.3662424375
3,2040-2059,28.0414479375
3,2060-2079,28.871961499999998
3,2080-2099,29.727961999999998
4,2020-2039,27.526728062500002
4,2040-2059,28.1880936875
4,2060-2079,29.0528608125
4,2080-2099,29.926525812500003
5,2020-2039,27.792432375
5,2040-2059,28.438770499999997
5,2060-2079,29.3055034375
5,2080-2099,30.152080937499996
6,2020-2039,27.877502749999998
6,2040-2059,28.564521375
6,2060-2079,29.408013562500003
6,2080-2099,30.2688216875
7,2020-2039,27.575522875
7,2040-2059,28.326063687500003
7,2060-2079,29.155247312500002
7,2080-2099,30.0695398125
8,2020-2039,26.9417406875
8,2040-2059,27.727589
8,2060-2079,28.557938625000006
8,2080-2099,29.489932812499998
9,2020-2039,26.66409625
9,2040-2059,27.3838576875
9,2060-2079,28.243370187500002
9,2080-2099,29.108338000000003
10,2020-2039,26.779232062500004
10,2040-2059,27.483697125
10,2060-2079,28.309525562500003
10,2080-2099,29.130329312500002
11,2020-2039,26.9380288125
11,2040-2059,27.6765326875
11,2060-2079,28.5309874375
11,2080-2099,29.348615874999997
12,2020-2039,27.0890469375
12,2040-2059,27.8651235625
12,2060-2079,28.717625187499998
12,2080-2099,29.6003750625
