Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,16.535203406249998
1,2040-2059,17.41843296875
1,2060-2079,18.5825435
1,2080-2099,19.54035421875
2,2020-2039,19.059227999999997
2,2040-2059,19.993412687499998
2,2060-2079,21.254494312500004
2,2080-2099,22.393596312499998
3,2020-2039,22.3112281875
3,2040-2059,23.539001749999997
3,2060-2079,24.869082687500004
3,2080-2099,26.0046116875
4,2020-2039,25.5875525625
4,2040-2059,26.993590312499997
4,2060-2079,28.2761385
4,2080-2099,29.803109375000002
5,2020-2039,29.497520312500004
5,2040-2059,30.705790500000003
5,2060-2079,32.099269625
5,2080-2099,33.496711687499996
6,2020-2039,33.8285846875
6,2040-2059,34.995300437500006
6,2060-2079,36.3321798125
6,2080-2099,37.79038781249999
7,2020-2039,37.4294999375
7,2040-2059,38.8205561875
7,2060-2079,40.3552466875
7,2080-2099,41.8694484375
8,2020-2039,37.1546605625
8,2040-2059,38.480233750000004
8,2060-2079,40.1748594375
8,2080-2099,41.3151850625
9,2020-2039,32.8354723125
9,2040-2059,34.118508999999996
9,2060-2079,35.76504468750001
9,2080-2099,37.206084374999996
10,2020-2039,26.856091124999995
10,2040-2059,27.990633062500006
10,2060-2079,29.37419275
10,2080-2099,30.926969312499995
11,2020-2039,20.90852525
11,2040-2059,21.699971875000003
11,2060-2079,23.19520475
11,2080-2099,24.533815125
12,2020-2039,17.027808125000004
12,2040-2059,17.9870213125
12,2060-2079,19.049975312500003
12,2080-2099,20.114204437499996
