Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,30.0813850625
1,2040-2059,31.23882218749999
1,2060-2079,32.2296553125
1,2080-2099,33.3779148125
2,2020-2039,33.121762499999996
2,2040-2059,34.2091724375
2,2060-2079,35.368578437500005
2,2080-2099,36.556976437500005
3,2020-2039,36.824042937499996
3,2040-2059,38.17004225
3,2060-2079,39.22270050000001
3,2080-2099,40.540680875
4,2020-2039,39.40520581249999
4,2040-2059,40.5323258125
4,2060-2079,41.82783862499999
4,2080-2099,43.1851548125
5,2020-2039,39.959416312500004
5,2040-2059,41.12983812499999
5,2060-2079,42.413655812500004
5,2080-2099,43.724213562500005
6,2020-2039,39.8544309375
6,2040-2059,40.915150624999995
6,2060-2079,42.2885011875
6,2080-2099,43.795196999999995
7,2020-2039,39.292227312499996
7,2040-2059,40.2382061875
7,2060-2079,41.6960708125
7,2080-2099,43.020847749999994
8,2020-2039,37.867047625
8,2040-2059,38.8981633125
8,2060-2079,40.17983949999999
8,2080-2099,41.25919587500001
9,2020-2039,37.412289937500006
9,2040-2059,38.29565887500001
9,2060-2079,39.461047875
9,2080-2099,40.5102315
10,2020-2039,36.50835800000001
10,2040-2059,37.613240875
10,2060-2079,38.77837387499999
10,2080-2099,39.85860743749999
11,2020-2039,33.743762187499996
11,2040-2059,34.8023240625
11,2060-2079,35.9778174375
11,2080-2099,37.256547562499996
12,2020-2039,30.3866300625
12,2040-2059,31.448035125
12,2060-2079,32.623419999999996
12,2080-2099,33.7467915625
