Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.121010000000002
1,2040-2059,28.852370625
1,2060-2079,29.705179875000002
1,2080-2099,30.585086999999998
2,2020-2039,28.568186687500003
2,2040-2059,29.331048625
2,2060-2079,30.167636062499998
2,2080-2099,31.022966750000005
3,2020-2039,29.276486562500004
3,2040-2059,29.967829187499998
3,2060-2079,30.837451499999997
3,2080-2099,31.744054249999994
4,2020-2039,29.608457875000006
4,2040-2059,30.255142750000005
4,2060-2079,31.159389
4,2080-2099,32.114281625000004
5,2020-2039,29.528671312500002
5,2040-2059,30.217377812499997
5,2060-2079,31.0918660625
5,2080-2099,32.030685562500004
6,2020-2039,29.5528339375
6,2040-2059,30.257729625
6,2060-2079,31.125533250000004
6,2080-2099,32.086133125
7,2020-2039,29.388692187499995
7,2040-2059,30.048410062500004
7,2060-2079,30.942452875
7,2080-2099,31.878919625
8,2020-2039,29.306891937499998
8,2040-2059,30.005231124999995
8,2060-2079,30.878864625000002
8,2080-2099,31.934757500000003
9,2020-2039,29.2503170625
9,2040-2059,29.9781673125
9,2060-2079,30.894465187499996
9,2080-2099,31.8591548125
10,2020-2039,29.028522874999997
10,2040-2059,29.6762145
10,2060-2079,30.575153062500004
10,2080-2099,31.459561687500003
11,2020-2039,28.765260249999997
11,2040-2059,29.3814588125
11,2060-2079,30.228988375
11,2080-2099,31.058805125
12,2020-2039,28.33692475
12,2040-2059,29.014932
12,2060-2079,29.839046062500003
12,2080-2099,30.70932775
