Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,16.133222625000002
1,2040-2059,17.0668804375
1,2060-2079,18.0169881875
1,2080-2099,18.959869812499996
2,2020-2039,17.683057687500003
2,2040-2059,18.468366062500003
2,2060-2079,19.5520169375
2,2080-2099,20.603597187500004
3,2020-2039,20.7650778125
3,2040-2059,21.905756187499996
3,2060-2079,22.627001187500003
3,2080-2099,24.0742725
4,2020-2039,24.574137874999998
4,2040-2059,25.3711926875
4,2060-2079,26.683195875
4,2080-2099,27.809215562499997
5,2020-2039,28.476082437500004
5,2040-2059,29.6469124375
5,2060-2079,30.664382875000005
5,2080-2099,31.747706625
6,2020-2039,32.7542889375
6,2040-2059,33.7829675
6,2060-2079,34.94954825
6,2080-2099,36.219035437500004
7,2020-2039,35.507262687499995
7,2040-2059,36.608160874999996
7,2060-2079,37.9454675625
7,2080-2099,39.393065937500005
8,2020-2039,35.808794562500005
8,2040-2059,37.0384343125
8,2060-2079,38.5077785
8,2080-2099,39.576015687499996
9,2020-2039,32.756066187500004
9,2040-2059,33.80459575
9,2060-2079,35.147833125000005
9,2080-2099,36.336628625
10,2020-2039,27.4950438125
10,2040-2059,28.7240050625
10,2060-2079,29.895838062499998
10,2080-2099,30.9532530625
11,2020-2039,21.60806825
11,2040-2059,22.864325437500007
11,2060-2079,23.843190625
11,2080-2099,25.005010562499997
12,2020-2039,17.46302684375
12,2040-2059,18.200626812499998
12,2060-2079,19.415741125
12,2080-2099,20.393442875000005
