Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,28.2310546875
1,2040-2059,28.731816312500005
1,2060-2079,29.324055874999992
1,2080-2099,29.948106874999997
2,2020-2039,28.529154937500003
2,2040-2059,29.027775874999996
2,2060-2079,29.628175187500002
2,2080-2099,30.312174624999997
3,2020-2039,28.628924437500004
3,2040-2059,29.162535375
3,2060-2079,29.788227812499994
3,2080-2099,30.470461125000003
4,2020-2039,28.509970062499995
4,2040-2059,29.010719937500003
4,2060-2079,29.685560374999998
4,2080-2099,30.382917499999998
5,2020-2039,27.9368239375
5,2040-2059,28.433689
5,2060-2079,29.090832499999998
5,2080-2099,29.826696750000004
6,2020-2039,27.150378375000003
6,2040-2059,27.6672990625
6,2060-2079,28.34811225
6,2080-2099,29.037085124999997
7,2020-2039,26.5772825
7,2040-2059,27.0374388125
7,2060-2079,27.719963749999998
7,2080-2099,28.399527625000005
8,2020-2039,26.320119875
8,2040-2059,26.781409875
8,2060-2079,27.400599875
8,2080-2099,28.1054511875
9,2020-2039,26.3822763125
9,2040-2059,26.822624125
9,2060-2079,27.4753555625
9,2080-2099,28.104761437499995
10,2020-2039,26.677363
10,2040-2059,27.179305874999994
10,2060-2079,27.794049624999996
10,2080-2099,28.404665624999996
11,2020-2039,27.214524062499994
11,2040-2059,27.724868750000002
11,2060-2079,28.341654062499995
11,2080-2099,28.966844375
12,2020-2039,27.7926006875
12,2040-2059,28.283850125
12,2060-2079,28.9172771875
12,2080-2099,29.541680437499995
