Month,Year,Monthly Max-Temperature - (Celsius)
1,2020-2039,27.024780125
1,2040-2059,27.8606494375
1,2060-2079,28.673356
1,2080-2099,29.6712549375
2,2020-2039,30.179885249999998
2,2040-2059,31.073893625
2,2060-2079,31.760045125000005
2,2080-2099,32.867365125
3,2020-2039,33.980867499999995
3,2040-2059,34.78701825
3,2060-2079,35.690580374999996
3,2080-2099,36.6378016875
4,2020-2039,35.743481812499994
4,2040-2059,36.4449720625
4,2060-2079,37.5039895
4,2080-2099,38.54087775
5,2020-2039,34.0582991875
5,2040-2059,34.7423735
5,2060-2079,35.832913875
5,2080-2099,36.8255835625
6,2020-2039,31.556507374999995
6,2040-2059,32.1591629375
6,2060-2079,33.17581943750001
6,2080-2099,34.11379075
7,2020-2039,30.277702062500005
7,2040-2059,30.9175410625
7,2060-2079,31.8000199375
7,2080-2099,32.821819875
8,2020-2039,30.006387125000003
8,2040-2059,30.548455249999996
8,2060-2079,31.554055812500003
8,2080-2099,32.4673441875
9,2020-2039,29.899424562499995
9,2040-2059,30.515246
9,2060-2079,31.481869375
9,2080-2099,32.3533889375
10,2020-2039,29.412952500000003
10,2040-2059,30.162378750000002
10,2060-2079,31.1371538125
10,2080-2099,31.997003875
11,2020-2039,28.049481687500002
11,2040-2059,28.911098374999998
11,2060-2079,29.769985625
11,2080-2099,30.668998312499998
12,2020-2039,26.381583375000005
12,2040-2059,27.3033071875
12,2060-2079,28.20926475
12,2080-2099,29.083370375000005
