Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-4.3441062390625005
1,2040-2059,-3.9443100710624996
1,2060-2079,-4.103085569625
1,2080-2099,-4.102737931875001
2,2020-2039,-2.74024746475
2,2040-2059,-2.091363930875
2,2060-2079,-2.1340489025
2,2080-2099,-2.4487402211249996
3,2020-2039,1.820155268125
3,2040-2059,1.8702657381249996
3,2060-2079,2.039758189375
3,2080-2099,1.8498490737499997
4,2020-2039,7.153748508124999
4,2040-2059,7.3900104
4,2060-2079,7.373849237500002
4,2080-2099,7.318823525
5,2020-2039,12.414592893749997
5,2040-2059,12.717747375
5,2060-2079,12.674849918749999
5,2080-2099,12.60804825
6,2020-2039,17.180060250000004
6,2040-2059,17.442846187500002
6,2060-2079,17.3851820625
6,2080-2099,17.252829656249997
7,2020-2039,19.3635105
7,2040-2059,19.704807
7,2060-2079,19.6843313125
7,2080-2099,19.6028415625
8,2020-2039,18.263454281250006
8,2040-2059,18.555178249999997
8,2060-2079,18.630453625
8,2080-2099,18.459898062500002
9,2020-2039,13.7700253125
9,2040-2059,14.03685959375
9,2060-2079,14.105471156250001
9,2080-2099,14.043947468749998
10,2020-2039,8.028950725
10,2040-2059,8.261290500000003
10,2060-2079,8.231803925
10,2080-2099,8.159299568749999
11,2020-2039,2.0584710418750003
11,2040-2059,2.230208070625
11,2060-2079,2.0582279468749998
11,2080-2099,2.03118338125
12,2020-2039,-2.7384784362499994
12,2040-2059,-2.4033658848124997
12,2060-2079,-2.4051027634375
12,2080-2099,-2.596747476875
