Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,24.466940124999997
1,2040-2059,24.6788566875
1,2060-2079,24.744486374999997
1,2080-2099,24.706091062499993
2,2020-2039,24.067526
2,2040-2059,24.2798669375
2,2060-2079,24.369325499999995
2,2080-2099,24.317112500000004
3,2020-2039,24.037298125
3,2040-2059,24.2299354375
3,2060-2079,24.3278614375
3,2080-2099,24.267131499999998
4,2020-2039,24.367948499999997
4,2040-2059,24.610281250000007
4,2060-2079,24.6746595625
4,2080-2099,24.598859750000003
5,2020-2039,25.0089573125
5,2040-2059,25.202762937499998
5,2060-2079,25.275100187500005
5,2080-2099,25.21401275
6,2020-2039,25.723969999999998
6,2040-2059,25.902671687500003
6,2060-2079,25.9745846875
6,2080-2099,25.908770312500003
7,2020-2039,26.3540884375
7,2040-2059,26.546341312500008
7,2060-2079,26.604077625
7,2080-2099,26.531920625
8,2020-2039,26.829703124999995
8,2040-2059,27.025136124999992
8,2060-2079,27.085492
8,2080-2099,26.987009999999998
9,2020-2039,27.0372845625
9,2040-2059,27.2255158125
9,2060-2079,27.269547937500004
9,2080-2099,27.2029375625
10,2020-2039,26.831152375000002
10,2040-2059,27.005151874999996
10,2060-2079,27.042338125000008
10,2080-2099,26.972657937500003
11,2020-2039,26.168368812500002
11,2040-2059,26.345466062500005
11,2060-2079,26.378567500000003
11,2080-2099,26.315438062499997
12,2020-2039,25.2714766875
12,2040-2059,25.429689125
12,2060-2079,25.5049340625
12,2080-2099,25.415765687499995
