Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,1.1931043899999998
1,2040-2059,1.3509187649999999
1,2060-2079,1.4732546925000003
1,2080-2099,1.337272130375
2,2020-2039,2.44111777625
2,2040-2059,2.5799216943750003
2,2060-2079,2.8080456437499994
2,2080-2099,2.4954213500000004
3,2020-2039,5.8311911625000015
3,2040-2059,6.020344075000001
3,2060-2079,6.222812062499999
3,2080-2099,5.95799110625
4,2020-2039,10.058438
4,2040-2059,10.385082137499998
4,2060-2079,10.3180018375
4,2080-2099,10.1682238375
5,2020-2039,13.61502771875
5,2040-2059,13.937746406250003
5,2060-2079,13.91711390625
5,2080-2099,13.88425409375
6,2020-2039,16.4237996875
6,2040-2059,16.58852225
6,2060-2079,16.6744863125
6,2080-2099,16.6379158125
7,2020-2039,17.0633489375
7,2040-2059,17.28864925
7,2060-2079,17.3199766875
7,2080-2099,17.252199437500003
8,2020-2039,16.6150101875
8,2040-2059,16.852231437500002
8,2060-2079,16.800138218749996
8,2080-2099,16.8312940625
9,2020-2039,15.166406937500001
9,2040-2059,15.390078625000001
9,2060-2079,15.3600535
9,2080-2099,15.35263628125
10,2020-2039,11.34801925
10,2040-2059,11.605985218750002
10,2060-2079,11.624343343749999
10,2080-2099,11.681066406250002
11,2020-2039,6.430157893750001
11,2040-2059,6.740940962500001
11,2060-2079,6.89483915
11,2080-2099,6.735301893749999
12,2020-2039,2.3930218887500008
12,2040-2059,2.8415512556249993
12,2060-2079,2.734943769999999
12,2080-2099,2.736626506875
