Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,24.607297875000004
1,2040-2059,24.849144687499994
1,2060-2079,24.873217249999996
1,2080-2099,24.841809999999995
2,2020-2039,24.569673875
2,2040-2059,24.8063784375
2,2060-2079,24.832534374999998
2,2080-2099,24.80477825
3,2020-2039,24.781897125
3,2040-2059,25.026037937500003
3,2060-2079,25.098130375
3,2080-2099,25.039193125
4,2020-2039,25.256782125
4,2040-2059,25.505507062499998
4,2060-2079,25.555497125
4,2080-2099,25.545879312500002
5,2020-2039,25.610922062499995
5,2040-2059,25.874252124999995
5,2060-2079,25.941290000000002
5,2080-2099,25.895017499999994
6,2020-2039,25.608752125
6,2040-2059,25.85110975
6,2060-2079,25.88808143750001
6,2080-2099,25.8768490625
7,2020-2039,25.685817624999995
7,2040-2059,25.918182312500004
7,2060-2079,25.9495476875
7,2080-2099,25.945922499999998
8,2020-2039,25.838600187500003
8,2040-2059,26.071747624999997
8,2060-2079,26.112080749999993
8,2080-2099,26.086785687500004
9,2020-2039,25.931842749999998
9,2040-2059,26.171620187499997
9,2060-2079,26.185522874999997
9,2080-2099,26.175451312499998
10,2020-2039,25.905769687499998
10,2040-2059,26.098470812499997
10,2060-2079,26.12566225
10,2080-2099,26.1275999375
11,2020-2039,25.5958793125
11,2040-2059,25.803596562499997
11,2060-2079,25.81046125
11,2080-2099,25.851210937499996
12,2020-2039,25.0571915
12,2040-2059,25.2700575
12,2060-2079,25.2575456875
12,2080-2099,25.257554999999996
