Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.184366812500002
1,2040-2059,21.428461624999997
1,2060-2079,21.466681249999997
1,2080-2099,21.3588310625
2,2020-2039,21.129544624999998
2,2040-2059,21.429346187500002
2,2060-2079,21.373409312499998
2,2080-2099,21.313153312499995
3,2020-2039,21.7317894375
3,2040-2059,21.908815875
3,2060-2079,21.995975374999997
3,2080-2099,21.960698875000002
4,2020-2039,22.6648478125
4,2040-2059,22.881026812500004
4,2060-2079,22.9144946875
4,2080-2099,22.884171312499998
5,2020-2039,23.377518499999997
5,2040-2059,23.637300687499998
5,2060-2079,23.718136499999996
5,2080-2099,23.620235437500003
6,2020-2039,23.638666625
6,2040-2059,23.886820125
6,2060-2079,23.93922975
6,2080-2099,23.878846624999998
7,2020-2039,23.773152749999998
7,2040-2059,24.045362125
7,2060-2079,24.1223351875
7,2080-2099,24.054370437499998
8,2020-2039,24.160766000000002
8,2040-2059,24.419179687499998
8,2060-2079,24.48627475
8,2080-2099,24.387454812499996
9,2020-2039,24.1940735
9,2040-2059,24.487462249999993
9,2060-2079,24.5045779375
9,2080-2099,24.465622937499997
10,2020-2039,23.819117062500002
10,2040-2059,24.075818125
10,2060-2079,24.0655194375
10,2080-2099,24.0544010625
11,2020-2039,22.9812960625
11,2040-2059,23.240183625
11,2060-2079,23.234379125000004
11,2080-2099,23.203530750000002
12,2020-2039,21.943340125
12,2040-2059,22.2232204375
12,2060-2079,22.148972187500004
12,2080-2099,22.144751312500002
