Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,12.678208468749999
1,2040-2059,12.878869375
1,2060-2079,12.984665156250003
1,2080-2099,12.8763434375
2,2020-2039,14.1902088125
2,2040-2059,14.4832308125
2,2060-2079,14.618326125000001
2,2080-2099,14.399963343750002
3,2020-2039,17.956540249999996
3,2040-2059,18.0685933125
3,2060-2079,18.29665715625
3,2080-2099,18.093899125
4,2020-2039,22.3177055625
4,2040-2059,22.594153812499997
4,2060-2079,22.547644
4,2080-2099,22.43862375
5,2020-2039,25.475836625
5,2040-2059,25.7401758125
5,2060-2079,25.7340383125
5,2080-2099,25.684776875
6,2020-2039,26.525390812500007
6,2040-2059,26.8380123125
6,2060-2079,26.9183588125
6,2080-2099,26.81325025
7,2020-2039,25.780016312500003
7,2040-2059,26.015898812500005
7,2060-2079,26.106922
7,2080-2099,26.0524731875
8,2020-2039,25.085635125000003
8,2040-2059,25.294445562499998
8,2060-2079,25.303504937499998
8,2080-2099,25.3313641875
9,2020-2039,24.168367562499995
9,2040-2059,24.4164204375
9,2060-2079,24.426192999999998
9,2080-2099,24.396206562499998
10,2020-2039,21.613243812500002
10,2040-2059,21.874855437500003
10,2060-2079,21.9259634375
10,2080-2099,21.8887844375
11,2020-2039,17.520015656250003
11,2040-2059,17.781721250000004
11,2060-2079,17.9255348125
11,2080-2099,17.768047187500002
12,2020-2039,13.746841375
12,2040-2059,14.121533375000002
12,2060-2079,14.133550125000003
12,2080-2099,14.03362671875
