Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,6.51134688125
1,2040-2059,6.837492225000002
1,2060-2079,6.714102099999998
1,2080-2099,6.601496325
2,2020-2039,8.1354430625
2,2040-2059,8.35478608125
2,2060-2079,8.394221914375
2,2080-2099,8.28344393125
3,2020-2039,11.414856093749998
3,2040-2059,11.671767975
3,2060-2079,11.728736393750003
3,2080-2099,11.581041547500002
4,2020-2039,15.585740750000001
4,2040-2059,15.8213216875
4,2060-2079,15.882366000000003
4,2080-2099,15.745574031249998
5,2020-2039,19.617490625000006
5,2040-2059,19.871930562499998
5,2060-2079,19.764806125
5,2080-2099,19.724420000000002
6,2020-2039,23.186396875
6,2040-2059,23.5516228125
6,2060-2079,23.463675062500002
6,2080-2099,23.3517936875
7,2020-2039,24.6850493125
7,2040-2059,25.032367999999995
7,2060-2079,24.955600000000004
7,2080-2099,24.773312999999998
8,2020-2039,24.30280025
8,2040-2059,24.6074515
8,2060-2079,24.498304312499997
8,2080-2099,24.399268250000002
9,2020-2039,21.55932775
9,2040-2059,21.974608687499998
9,2060-2079,21.777088749999997
9,2080-2099,21.822859562499993
10,2020-2039,16.995777531250003
10,2040-2059,17.3508138125
10,2060-2079,17.1500426875
10,2080-2099,17.1182515
11,2020-2039,11.571563025
11,2040-2059,11.943568662499999
11,2060-2079,11.755428799999999
11,2080-2099,11.706317075
12,2020-2039,7.627960993750001
12,2040-2059,7.9178126862500005
12,2060-2079,7.819537459999999
12,2080-2099,7.74894043125
