Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,23.313851687500005
1,2040-2059,23.491008687499995
1,2060-2079,23.548561125
1,2080-2099,23.494317
2,2020-2039,23.200337750000003
2,2040-2059,23.3854735625
2,2060-2079,23.425679875000004
2,2080-2099,23.421747375
3,2020-2039,23.565670249999997
3,2040-2059,23.783761187499998
3,2060-2079,23.813482625
3,2080-2099,23.8014786875
4,2020-2039,24.130544812500002
4,2040-2059,24.309317
4,2060-2079,24.3712163125
4,2080-2099,24.342299937499998
5,2020-2039,24.363745312499997
5,2040-2059,24.572710625
5,2060-2079,24.59947875
5,2080-2099,24.566795437499998
6,2020-2039,24.332812750000002
6,2040-2059,24.533700687500005
6,2060-2079,24.572267
6,2080-2099,24.535798875
7,2020-2039,24.20466325
7,2040-2059,24.3887951875
7,2060-2079,24.415921062500004
7,2080-2099,24.421181624999996
8,2020-2039,24.1722765625
8,2040-2059,24.357066624999998
8,2060-2079,24.342721312499997
8,2080-2099,24.31448175
9,2020-2039,24.1447214375
9,2040-2059,24.32827225
9,2060-2079,24.324701500000003
9,2080-2099,24.32288975
10,2020-2039,24.137317375
10,2040-2059,24.3006725
10,2060-2079,24.338318375
10,2080-2099,24.319086687500004
11,2020-2039,24.037592062500003
11,2040-2059,24.202516999999997
11,2060-2079,24.239748625
11,2080-2099,24.203880062499998
12,2020-2039,23.754205437499998
12,2040-2059,23.9103473125
12,2060-2079,23.9402155625
12,2080-2099,23.927480625
