Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-9.66433421875
1,2040-2059,-9.384303537500001
1,2060-2079,-9.079302731250001
1,2080-2099,-9.41832131875
2,2020-2039,-7.60204871875
2,2040-2059,-7.0565922937500005
2,2060-2079,-7.37332465
2,2080-2099,-7.495857600000002
3,2020-2039,-1.698075144375
3,2040-2059,-1.6553201425
3,2060-2079,-1.4404819687500001
3,2080-2099,-1.5698893596874999
4,2020-2039,4.9034345125000005
4,2040-2059,5.1503909375
4,2060-2079,5.1256029000000005
4,2080-2099,4.994317962499999
5,2020-2039,10.873419856249999
5,2040-2059,11.194093749999999
5,2060-2079,11.223708337499998
5,2080-2099,11.177451275
6,2020-2039,16.2032774375
6,2040-2059,16.52406503125
6,2060-2079,16.46018590625
6,2080-2099,16.443665437499998
7,2020-2039,19.889013437500004
7,2040-2059,20.340625000000003
7,2060-2079,20.3252880625
7,2080-2099,20.225464000000002
8,2020-2039,20.021617
8,2040-2059,20.4417175625
8,2060-2079,20.484409812499997
8,2080-2099,20.3030095625
9,2020-2039,14.868863375
9,2040-2059,15.2504445625
9,2060-2079,15.255097875
9,2080-2099,15.131027406250002
10,2020-2039,7.722705643750001
10,2040-2059,7.990465927499999
10,2060-2079,7.909677062499999
10,2080-2099,7.911733454375
11,2020-2039,0.4434856246875
11,2040-2059,0.624453849375
11,2060-2079,0.6168515643750002
11,2080-2099,0.4991923027499999
12,2020-2039,-6.42288804
12,2040-2059,-6.0797093475
12,2060-2079,-5.958893048125001
12,2080-2099,-6.06806039775
