Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,17.236447000000002
1,2040-2059,17.4016611875
1,2060-2079,17.4645625625
1,2080-2099,17.514269437499998
2,2020-2039,19.260372500000003
2,2040-2059,19.419479374999998
2,2060-2079,19.5383224375
2,2080-2099,19.6041691875
3,2020-2039,22.5954055625
3,2040-2059,22.832720874999996
3,2060-2079,22.881115312500004
3,2080-2099,22.793457687500005
4,2020-2039,25.27914075
4,2040-2059,25.485057500000003
4,2060-2079,25.641002875
4,2080-2099,25.524724625
5,2020-2039,25.788980750000004
5,2040-2059,26.020072000000003
5,2060-2079,26.186663874999997
5,2080-2099,26.0458088125
6,2020-2039,25.328091375000003
6,2040-2059,25.538741249999998
6,2060-2079,25.624730937500004
6,2080-2099,25.5562383125
7,2020-2039,24.918828062499998
7,2040-2059,25.088862000000002
7,2060-2079,25.1631645
7,2080-2099,25.107116
8,2020-2039,24.770867875
8,2040-2059,24.9495120625
8,2060-2079,24.964701937500003
8,2080-2099,24.93984475
9,2020-2039,24.226943
9,2040-2059,24.34984775
9,2060-2079,24.375232500000003
9,2080-2099,24.369695937499998
10,2020-2039,22.722837750000004
10,2040-2059,22.828837125
10,2060-2079,22.9219555
10,2080-2099,22.9093039375
11,2020-2039,20.422394687500002
11,2040-2059,20.521914374999994
11,2060-2079,20.689615125
11,2080-2099,20.655496062500003
12,2020-2039,17.796008875000002
12,2040-2059,18.0626183125
12,2060-2079,18.0667215625
12,2080-2099,18.084074
