Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,27.800514812500005
1,2040-2059,28.000430687500003
1,2060-2079,28.0020148125
1,2080-2099,27.9810971875
2,2020-2039,28.085820624999997
2,2040-2059,28.25933325
2,2060-2079,28.2983263125
2,2080-2099,28.301880875
3,2020-2039,28.2163411875
3,2040-2059,28.3633915625
3,2060-2079,28.412050687500003
3,2080-2099,28.418115687500002
4,2020-2039,28.088671374999997
4,2040-2059,28.2455028125
4,2060-2079,28.2915061875
4,2080-2099,28.29913675
5,2020-2039,27.559943687499995
5,2040-2059,27.721406875
5,2060-2079,27.7412933125
5,2080-2099,27.749656000000005
6,2020-2039,26.7470781875
6,2040-2059,26.96125625
6,2060-2079,26.909170312499995
6,2080-2099,26.983763625000005
7,2020-2039,26.1766225625
7,2040-2059,26.389881000000003
7,2060-2079,26.37271325
7,2080-2099,26.401854624999995
8,2020-2039,25.977678625
8,2040-2059,26.168540250000003
8,2060-2079,26.1140613125
8,2080-2099,26.134984937500004
9,2020-2039,26.050142250000004
9,2040-2059,26.224943187500003
9,2060-2079,26.220839562500004
9,2080-2099,26.216306874999994
10,2020-2039,26.351933937499997
10,2040-2059,26.526571749999995
10,2060-2079,26.530760687500006
10,2080-2099,26.506923937500005
11,2020-2039,26.803111312500004
11,2040-2059,27.008458124999994
11,2060-2079,26.98949825
11,2080-2099,26.9935308125
12,2020-2039,27.329120750000005
12,2040-2059,27.490614562500006
12,2060-2079,27.513107875000003
12,2080-2099,27.4872465
