Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,20.787590062499998
1,2040-2059,21.007249062499998
1,2060-2079,21.071762
1,2080-2099,21.03431225
2,2020-2039,20.4422941875
2,2040-2059,20.7267246875
2,2060-2079,20.821846125
2,2080-2099,20.775098562500002
3,2020-2039,19.718936125
3,2040-2059,19.961820250000002
3,2060-2079,19.944300875
3,2080-2099,19.997196187500002
4,2020-2039,17.826398625
4,2040-2059,18.1807025
4,2060-2079,18.1332938125
4,2080-2099,18.1210203125
5,2020-2039,14.906752843749999
5,2040-2059,15.252593718750001
5,2060-2079,15.195011593750003
5,2080-2099,14.984601937499997
6,2020-2039,12.29335384375
6,2040-2059,12.46782468125
6,2060-2079,12.4645965125
6,2080-2099,12.43199225
7,2020-2039,11.644168018750001
7,2040-2059,11.853527374999999
7,2060-2079,11.78644623125
7,2080-2099,11.8487289375
8,2020-2039,13.326104062499999
8,2040-2059,13.314396187500002
8,2060-2079,13.375441456249998
8,2080-2099,13.45450270625
9,2020-2039,16.488689125
9,2040-2059,16.71271996875
9,2060-2079,16.664284
9,2080-2099,16.727646625
10,2020-2039,19.7221748125
10,2040-2059,20.018831125
10,2060-2079,19.897799875
10,2080-2099,19.926641874999998
11,2020-2039,20.602450625
11,2040-2059,20.993007187499995
11,2060-2079,21.008902500000005
11,2080-2099,20.982211437500002
12,2020-2039,20.58108125
12,2040-2059,20.82814
12,2060-2079,20.9603234375
12,2080-2099,21.042519312499998
