Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-1.5519457100000003
1,2040-2059,-1.1474869931249996
1,2060-2079,-0.6353127163437499
1,2080-2099,-0.5192766512499999
2,2020-2039,-1.1314655731249998
2,2040-2059,-0.6903012581249999
2,2060-2079,-0.4915233403749999
2,2080-2099,-0.18022832624999996
3,2020-2039,0.9725188338749999
3,2040-2059,1.3603565725000002
3,2060-2079,1.6648553581250003
3,2080-2099,1.7307964043750002
4,2020-2039,4.134024225
4,2040-2059,4.410845675000001
4,2060-2079,4.6476256312499995
4,2080-2099,4.949507875
5,2020-2039,8.1302276425
5,2040-2059,8.591311393749999
5,2060-2079,8.857183818749998
5,2080-2099,8.9570719875
6,2020-2039,12.086178737500001
6,2040-2059,12.838859987499998
6,2060-2079,13.196941331249999
6,2080-2099,13.10208823125
7,2020-2039,14.474313187500002
7,2040-2059,14.991098124999997
7,2060-2079,15.45242540625
7,2080-2099,15.595722624999999
8,2020-2039,13.763984218749998
8,2040-2059,14.293243624999997
8,2060-2079,14.758383937499998
8,2080-2099,14.9082025625
9,2020-2039,10.123609899999998
9,2040-2059,10.5208088125
9,2060-2079,11.09523390625
9,2080-2099,11.29225609375
10,2020-2039,6.03135413125
10,2040-2059,6.569561446250001
10,2060-2079,6.736044881250001
10,2080-2099,7.1044494218750005
11,2020-2039,2.5530507491249996
11,2040-2059,2.87074666
11,2060-2079,3.2946460874999994
11,2080-2099,3.439845643750001
12,2020-2039,-0.23209808168750007
12,2040-2059,0.21421372615624995
12,2060-2079,0.692287353875
12,2080-2099,0.6753517745
