Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,23.691382500000003
1,2040-2059,24.094475250000002
1,2060-2079,24.358550062500004
1,2080-2099,24.525699062499996
2,2020-2039,23.408298937499996
2,2040-2059,23.796239000000003
2,2060-2079,24.091160562499994
2,2080-2099,24.196129062500003
3,2020-2039,23.446188625
3,2040-2059,23.863872750000002
3,2060-2079,24.13983975
3,2080-2099,24.309521437500003
4,2020-2039,23.869140937499996
4,2040-2059,24.247873000000002
4,2060-2079,24.5721661875
4,2080-2099,24.710459250000003
5,2020-2039,24.559683749999998
5,2040-2059,24.918957937500004
5,2060-2079,25.241518874999997
5,2080-2099,25.3984270625
6,2020-2039,25.2625244375
6,2040-2059,25.64753525
6,2060-2079,25.946895375000008
6,2080-2099,26.10169675
7,2020-2039,25.814445437499995
7,2040-2059,26.208104374999998
7,2060-2079,26.49836968749999
7,2080-2099,26.641396124999993
8,2020-2039,26.19122525
8,2040-2059,26.585277625000003
8,2060-2079,26.865330812499995
8,2080-2099,27.020047687499996
9,2020-2039,26.26977525
9,2040-2059,26.6496860625
9,2060-2079,26.961516250000003
9,2080-2099,27.1154850625
10,2020-2039,25.9672998125
10,2040-2059,26.356793624999998
10,2060-2079,26.653185375
10,2080-2099,26.8021649375
11,2020-2039,25.263337374999995
11,2040-2059,25.67325462500001
11,2060-2079,25.931739812500002
11,2080-2099,26.094341749999995
12,2020-2039,24.404872875
12,2040-2059,24.80091125
12,2060-2079,25.0961585
12,2080-2099,25.2460329375
