Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,7.05674781875
1,2040-2059,7.457822050000001
1,2060-2079,7.917157548750001
1,2080-2099,8.105992050625
2,2020-2039,9.0890148175
2,2040-2059,9.578731268750001
2,2060-2079,9.7222790375
2,2080-2099,9.98986414625
3,2020-2039,12.274893024999999
3,2040-2059,12.87234250625
3,2060-2079,13.278458193750003
3,2080-2099,13.579846687500002
4,2020-2039,16.18328521875
4,2040-2059,16.909294156250002
4,2060-2079,17.34092346875
4,2080-2099,17.5732785625
5,2020-2039,20.570630125
5,2040-2059,21.23703975
5,2060-2079,21.717231625
5,2080-2099,21.883459374999997
6,2020-2039,24.595165937500003
6,2040-2059,25.479766624999996
6,2060-2079,25.9230611875
6,2080-2099,26.157058250000002
7,2020-2039,27.041388687500007
7,2040-2059,27.818716937499996
7,2060-2079,28.3556845625
7,2080-2099,28.75864425
8,2020-2039,26.621341
8,2040-2059,27.330741437500006
8,2060-2079,27.907607812500007
8,2080-2099,28.270336250000003
9,2020-2039,23.404132812500002
9,2040-2059,24.0625791875
9,2060-2079,24.6708483125
9,2080-2099,24.927153687500002
10,2020-2039,17.89725978125
10,2040-2059,18.57390125
10,2060-2079,18.980560249999996
10,2080-2099,19.276640875000002
11,2020-2039,12.08102614375
11,2040-2059,12.606834725
11,2060-2079,13.070875568750001
11,2080-2099,13.266853993749999
12,2020-2039,8.005280241874999
12,2040-2059,8.5009547325
12,2060-2079,8.96641906875
12,2080-2099,8.992287791250003
