Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,16.9513956875
1,2040-2059,17.53138371875
1,2060-2079,17.997881812499998
1,2080-2099,18.0938174375
2,2020-2039,18.05036075
2,2040-2059,18.629590437500003
2,2060-2079,19.0738271875
2,2080-2099,19.2461575625
3,2020-2039,20.4658345625
3,2040-2059,20.9242724375
3,2060-2079,21.3421889375
3,2080-2099,21.577285312500006
4,2020-2039,22.781089499999997
4,2040-2059,23.494357937500002
4,2060-2079,23.86493975
4,2080-2099,24.057353374999998
5,2020-2039,24.592571625000005
5,2040-2059,25.16246775
5,2060-2079,25.731467125
5,2080-2099,25.855810812499996
6,2020-2039,25.595673937499996
6,2040-2059,26.188722375
6,2060-2079,26.69382875
6,2080-2099,26.814262499999998
7,2020-2039,25.260251625
7,2040-2059,25.7415221875
7,2060-2079,26.214042875000004
7,2080-2099,26.371675499999995
8,2020-2039,24.509656874999997
8,2040-2059,25.049090750000005
8,2060-2079,25.388833374999997
8,2080-2099,25.662116500000007
9,2020-2039,24.01386175
9,2040-2059,24.603371000000003
9,2060-2079,25.045898875000002
9,2080-2099,25.1789565625
10,2020-2039,22.5466903125
10,2040-2059,23.1704845
10,2060-2079,23.612799749999997
10,2080-2099,23.7905550625
11,2020-2039,20.3068785625
11,2040-2059,20.85702253125
11,2060-2079,21.320010562500002
11,2080-2099,21.45633975
12,2020-2039,17.924678093750003
12,2040-2059,18.500710374999997
12,2060-2079,18.9275855625
12,2080-2099,19.03568678125
