Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,27.139280125000003
1,2040-2059,27.388026187500003
1,2060-2079,27.681818999999997
1,2080-2099,27.79532925
2,2020-2039,27.671431062499998
2,2040-2059,27.930716187499996
2,2060-2079,28.227095874999993
2,2080-2099,28.363620875
3,2020-2039,27.786398875000003
3,2040-2059,28.059050937499997
3,2060-2079,28.315107687499996
3,2080-2099,28.449448250000003
4,2020-2039,27.335359999999998
4,2040-2059,27.657535250000002
4,2060-2079,27.872187562500002
4,2080-2099,28.0156635
5,2020-2039,26.3396409375
5,2040-2059,26.6823735625
5,2060-2079,26.882633
5,2080-2099,27.016744500000005
6,2020-2039,25.159560562499998
6,2040-2059,25.4031425625
6,2060-2079,25.659103124999998
6,2080-2099,25.859132812499997
7,2020-2039,24.290446437499995
7,2040-2059,24.5254323125
7,2060-2079,24.7888155
7,2080-2099,24.9031278125
8,2020-2039,23.914517187500003
8,2040-2059,24.1822303125
8,2060-2079,24.430787562500004
8,2080-2099,24.544026749999997
9,2020-2039,24.030343625
9,2040-2059,24.238424875
9,2060-2079,24.545747000000006
9,2080-2099,24.634074187499994
10,2020-2039,24.565728687500002
10,2040-2059,24.7978174375
10,2060-2079,25.077541437500003
10,2080-2099,25.151064562500004
11,2020-2039,25.362303374999996
11,2040-2059,25.606671062499995
11,2060-2079,25.880067875
11,2080-2099,25.959288625000003
12,2020-2039,26.2809475625
12,2040-2059,26.498999437500004
12,2060-2079,26.853206937499998
12,2080-2099,26.891338749999996
