Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,23.29506525
1,2040-2059,23.7351148125
1,2060-2079,24.102207874999998
1,2080-2099,24.259894125000002
2,2020-2039,23.795297687500003
2,2040-2059,24.2152786875
2,2060-2079,24.5632351875
2,2080-2099,24.72970925
3,2020-2039,24.2467161875
3,2040-2059,24.6557063125
3,2060-2079,25.022984750000003
3,2080-2099,25.202786875000005
4,2020-2039,24.325513312500004
4,2040-2059,24.7692151875
4,2060-2079,25.1041183125
4,2080-2099,25.278627812499998
5,2020-2039,24.162264875
5,2040-2059,24.569733000000003
5,2060-2079,24.932541750000002
5,2080-2099,25.082799062499998
6,2020-2039,23.576200625
6,2040-2059,24.016307125
6,2060-2079,24.410136625
6,2080-2099,24.533528187500004
7,2020-2039,23.049596375
7,2040-2059,23.464021750000004
7,2060-2079,23.829077125
7,2080-2099,23.978135499999997
8,2020-2039,22.89966675
8,2040-2059,23.310340312499996
8,2060-2079,23.648063124999997
8,2080-2099,23.820487750000005
9,2020-2039,23.2229728125
9,2040-2059,23.636194875
9,2060-2079,23.976283812499997
9,2080-2099,24.140442250000003
10,2020-2039,23.531867687500004
10,2040-2059,23.952056999999996
10,2060-2079,24.270164249999997
10,2080-2099,24.443706374999998
11,2020-2039,23.5831990625
11,2040-2059,23.9671908125
11,2060-2079,24.2896505625
11,2080-2099,24.460824999999996
12,2020-2039,23.338894
12,2040-2059,23.7669004375
12,2060-2079,24.071863000000004
12,2080-2099,24.248456625000006
