Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-4.608124725
1,2040-2059,-4.777405000000001
1,2060-2079,-4.775117562499998
1,2080-2099,-4.576515756249999
2,2020-2039,-5.498345081250001
2,2040-2059,-5.23251770625
2,2060-2079,-5.186599418750001
2,2080-2099,-5.0970977375
3,2020-2039,-4.273076840000001
3,2040-2059,-4.59739735625
3,2060-2079,-4.555450111249999
3,2080-2099,-4.22106592625
4,2020-2039,-1.7690494794375002
4,2040-2059,-1.6123169368750003
4,2060-2079,-1.4920054618749996
4,2080-2099,-1.4542057549999998
5,2020-2039,1.891595449375
5,2040-2059,2.2159124475625003
5,2060-2079,2.131421736875
5,2080-2099,2.2131968946875
6,2020-2039,5.1526542312500005
6,2040-2059,5.457668712499999
6,2060-2079,5.473430225
6,2080-2099,5.556027101875
7,2020-2039,7.3656556874999985
7,2040-2059,7.6648870562499996
7,2060-2079,7.621377568749999
7,2080-2099,7.830209225
8,2020-2039,7.303468831249999
8,2040-2059,7.54508255
8,2060-2079,7.63341923125
8,2080-2099,7.766394256249999
9,2020-2039,5.07503889381875
9,2040-2059,5.332065525000001
9,2060-2079,5.35575479375
9,2080-2099,5.562732631249999
10,2020-2039,2.0672973452499996
10,2040-2059,2.1773265767499996
10,2060-2079,2.2229762225
10,2080-2099,2.4458201935000004
11,2020-2039,-1.0111172918750002
11,2040-2059,-0.8330002762500002
11,2060-2079,-0.7950427043749997
11,2080-2099,-0.456270945625
12,2020-2039,-3.3271293437500002
12,2040-2059,-3.2613310618749995
12,2060-2079,-3.20765738
12,2080-2099,-2.81497175375
