Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,6.828837948750001
1,2040-2059,7.171232585
1,2060-2079,7.584330693749999
1,2080-2099,7.7163292625
2,2020-2039,6.899247787500001
2,2040-2059,7.31848330625
2,2060-2079,7.45216050625
2,2080-2099,7.70392348125
3,2020-2039,8.03918419375
3,2040-2059,8.486422518750002
3,2060-2079,8.76715385
3,2080-2099,8.880000237500001
4,2020-2039,10.262234718750001
4,2040-2059,10.658039656249999
4,2060-2079,10.845446187500002
4,2080-2099,11.151153475
5,2020-2039,13.524396312500002
5,2040-2059,14.075966499999998
5,2060-2079,14.2945210625
5,2080-2099,14.428147749999999
6,2020-2039,17.5559145625
6,2040-2059,18.27994775
6,2060-2079,18.6106708125
6,2080-2099,18.646231062499997
7,2020-2039,20.807889687499998
7,2040-2059,21.303159750000003
7,2060-2079,21.811072437500002
7,2080-2099,21.875468437500004
8,2020-2039,20.8086828125
8,2040-2059,21.3988638125
8,2060-2079,21.918419187499996
8,2080-2099,22.003398500000003
9,2020-2039,17.727216
9,2040-2059,18.197307812499997
9,2060-2079,18.766922562500003
9,2080-2099,18.9134955
10,2020-2039,13.932575687500002
10,2040-2059,14.43443234375
10,2060-2079,14.676330937499998
10,2080-2099,15.027991781250002
11,2020-2039,10.6339462625
11,2040-2059,10.9694913625
11,2060-2079,11.3422606875
11,2080-2099,11.556027006249998
12,2020-2039,8.094295043750002
12,2040-2059,8.45656576875
12,2060-2079,8.9009346
12,2080-2099,8.952564531250001
