Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,24.524763437500003
1,2040-2059,24.908074875
1,2060-2079,25.1310263125
1,2080-2099,25.300806125
2,2020-2039,24.163467625
2,2040-2059,24.537424625
2,2060-2079,24.784867374999997
2,2080-2099,24.90092575
3,2020-2039,24.1194028125
3,2040-2059,24.506796062499994
3,2060-2079,24.7475880625
3,2080-2099,24.928702437500004
4,2020-2039,24.478915812500002
4,2040-2059,24.853591250000004
4,2060-2079,25.125808375
4,2080-2099,25.283488187499998
5,2020-2039,25.080707875
5,2040-2059,25.4409444375
5,2060-2079,25.7310793125
5,2080-2099,25.881537500000004
6,2020-2039,25.769009562500003
6,2040-2059,26.118047375
6,2060-2079,26.4120196875
6,2080-2099,26.559248875
7,2020-2039,26.367967687500002
7,2040-2059,26.749810625
7,2060-2079,26.9969913125
7,2080-2099,27.1466765
8,2020-2039,26.845553062500002
8,2040-2059,27.22400075
8,2060-2079,27.470807250000007
8,2080-2099,27.626200125
9,2020-2039,27.0500343125
9,2040-2059,27.416757562500003
9,2060-2079,27.7037699375
9,2080-2099,27.843827437500003
10,2020-2039,26.8360543125
10,2040-2059,27.226575874999998
10,2060-2079,27.492220875
10,2080-2099,27.625163562500003
11,2020-2039,26.1795836875
11,2040-2059,26.5780575625
11,2060-2079,26.828467437500006
11,2080-2099,26.94349131249999
12,2020-2039,25.297738937499997
12,2040-2059,25.6754735
12,2060-2079,25.906369687499996
12,2080-2099,26.072664000000003
