Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,15.057137368749999
1,2040-2059,15.595073718749997
1,2060-2079,15.995220499999999
1,2080-2099,16.22769603125
2,2020-2039,17.2349704375
2,2040-2059,17.806065437500003
2,2060-2079,18.1590210625
2,2080-2099,18.336101187500002
3,2020-2039,20.634386562499998
3,2040-2059,21.333140062499997
3,2060-2079,21.7080419375
3,2080-2099,21.986714375000002
4,2020-2039,24.05777625
4,2040-2059,24.689166
4,2060-2079,25.28284025
4,2080-2099,25.520626312499996
5,2020-2039,26.526792125
5,2040-2059,27.112873937499998
5,2060-2079,27.6196108125
5,2080-2099,27.853987250000003
6,2020-2039,27.551196500000003
6,2040-2059,28.218361499999993
6,2060-2079,28.703901000000002
6,2080-2099,28.946540249999998
7,2020-2039,27.621536687499997
7,2040-2059,28.197506937500005
7,2060-2079,28.637905749999998
7,2080-2099,28.936570687499998
8,2020-2039,27.014178812499996
8,2040-2059,27.554547187500003
8,2060-2079,27.931766750000005
8,2080-2099,28.173960687499996
9,2020-2039,26.180924687500003
9,2040-2059,26.692977687499997
9,2060-2079,27.191671125
9,2080-2099,27.350700374999995
10,2020-2039,23.775729312500005
10,2040-2059,24.3878795
10,2060-2079,24.9163176875
10,2080-2099,25.0268359375
11,2020-2039,19.3777806875
11,2040-2059,19.9265623125
11,2060-2079,20.501329312499998
11,2080-2099,20.5874363125
12,2020-2039,15.765667937499996
12,2040-2059,16.348308000000003
12,2060-2079,16.763343875
12,2080-2099,16.861574749999996
