Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.263660812500003
1,2040-2059,21.816993687500002
1,2060-2079,22.142918375
1,2080-2099,22.3553463125
2,2020-2039,21.058571500000003
2,2040-2059,21.620468000000002
2,2060-2079,21.914314375
2,2080-2099,22.1268213125
3,2020-2039,20.654154625
3,2040-2059,21.106844375000005
3,2060-2079,21.4470176875
3,2080-2099,21.649659249999996
4,2020-2039,19.3916581875
4,2040-2059,19.8866035625
4,2060-2079,20.299689875000002
4,2080-2099,20.465876125
5,2020-2039,17.065094875000003
5,2040-2059,17.614879312499994
5,2060-2079,18.0591754375
5,2080-2099,18.260768999999996
6,2020-2039,14.781109999999998
6,2040-2059,15.36450096875
6,2060-2079,15.7265060625
6,2080-2099,15.9976129375
7,2020-2039,14.041460374999996
7,2040-2059,14.565846281249998
7,2060-2079,15.026809062500002
7,2080-2099,15.140028187499999
8,2020-2039,14.9053813125
8,2040-2059,15.46198175
8,2060-2079,15.912031625
8,2080-2099,16.033065999999998
9,2020-2039,17.30886259375
9,2040-2059,17.8937924375
9,2060-2079,18.2474555
9,2080-2099,18.4073775
10,2020-2039,20.180666687499997
10,2040-2059,20.799350187500004
10,2060-2079,21.178231312499996
10,2080-2099,21.4007023125
11,2020-2039,21.661144625000002
11,2040-2059,22.317451062499998
11,2060-2079,22.618400125
11,2080-2099,22.885679250000003
12,2020-2039,21.480119374999997
12,2040-2059,22.092721312500004
12,2060-2079,22.4324389375
12,2080-2099,22.691554999999997
