Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,18.375474125
1,2040-2059,18.85520175
1,2060-2079,19.2158100625
1,2080-2099,19.41864925
2,2020-2039,18.581738062499998
2,2040-2059,19.03560125
2,2060-2079,19.368724750000002
2,2080-2099,19.557906250000002
3,2020-2039,18.572790375
3,2040-2059,19.020906999999994
3,2060-2079,19.3662995
3,2080-2099,19.566453624999998
4,2020-2039,17.952568437500002
4,2040-2059,18.426889812499994
4,2060-2079,18.813490875000003
4,2080-2099,18.988580374999998
5,2020-2039,16.4183605
5,2040-2059,17.0009995
5,2060-2079,17.3838660625
5,2080-2099,17.611142187499997
6,2020-2039,15.102958187499997
6,2040-2059,15.722041656250001
6,2060-2079,16.132060625
6,2080-2099,16.2979743125
7,2020-2039,15.027335250000002
7,2040-2059,15.657207625000002
7,2060-2079,16.05071815625
7,2080-2099,16.2228196875
8,2020-2039,16.3136229375
8,2040-2059,16.882141031249997
8,2060-2079,17.3433750625
8,2080-2099,17.48842178125
9,2020-2039,17.7474530625
9,2040-2059,18.291786125
9,2060-2079,18.762472625
9,2080-2099,18.968160125
10,2020-2039,18.242996
10,2040-2059,18.8146218125
10,2060-2079,19.208384
10,2080-2099,19.416316875000003
11,2020-2039,18.134797343749995
11,2040-2059,18.691891687499997
11,2060-2079,19.093356812499998
11,2080-2099,19.2677755
12,2020-2039,18.244777
12,2040-2059,18.7468846875
12,2060-2079,19.043239687500005
12,2080-2099,19.246842624999996
