Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.277366624999996
1,2040-2059,21.673340437499995
1,2060-2079,22.021272125000003
1,2080-2099,22.244239999999994
2,2020-2039,22.783766375000003
2,2040-2059,23.261521375
2,2060-2079,23.563568625000002
2,2080-2099,23.826846
3,2020-2039,24.3890881875
3,2040-2059,24.8766441875
3,2060-2079,25.200961187500003
3,2080-2099,25.4005735
4,2020-2039,24.873305000000002
4,2040-2059,25.306234187500003
4,2060-2079,25.6513733125
4,2080-2099,25.79136675
5,2020-2039,24.66805775
5,2040-2059,25.141040874999998
5,2060-2079,25.4552811875
5,2080-2099,25.639853187499998
6,2020-2039,24.375579875
6,2040-2059,24.852386312500002
6,2060-2079,25.1636746875
6,2080-2099,25.332180312500004
7,2020-2039,24.136822062500002
7,2040-2059,24.56970125
7,2060-2079,24.851235437499998
7,2080-2099,25.012553625
8,2020-2039,23.927421437499998
8,2040-2059,24.331335937499997
8,2060-2079,24.608483
8,2080-2099,24.768683312500002
9,2020-2039,24.044878937500005
9,2040-2059,24.460805812499995
9,2060-2079,24.764055875
9,2080-2099,24.8966800625
10,2020-2039,24.235170437500003
10,2040-2059,24.688337999999995
10,2060-2079,24.952036500000002
10,2080-2099,25.113851000000004
11,2020-2039,23.460874437500003
11,2040-2059,23.8907746875
11,2060-2079,24.2699618125
11,2080-2099,24.4319430625
12,2020-2039,21.45288975
12,2040-2059,21.9777101875
12,2060-2079,22.2518381875
12,2080-2099,22.394799812499997
