Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,0.6820280115
1,2040-2059,1.066357654375
1,2060-2079,1.5802443893749998
1,2080-2099,1.7865075650000002
2,2020-2039,1.201900123125
2,2040-2059,1.5033535631250001
2,2060-2079,1.745961326875
2,2080-2099,2.0418060749999998
3,2020-2039,3.1375994
3,2040-2059,3.5888814124999993
3,2060-2079,3.9595917250000006
3,2080-2099,4.015954325
4,2020-2039,6.48755484375
4,2040-2059,6.7587806937499995
4,2060-2079,6.994231400000001
4,2080-2099,7.32098440625
5,2020-2039,10.658122612500001
5,2040-2059,11.027194018749999
5,2060-2079,11.41660355625
5,2080-2099,11.53123609375
6,2020-2039,14.947647343749999
6,2040-2059,15.59345653125
6,2060-2079,16.020474187500003
6,2080-2099,16.033619124999998
7,2020-2039,17.608162875
7,2040-2059,18.189115000000005
7,2060-2079,18.6445691875
7,2080-2099,18.9021865
8,2020-2039,17.005251875
8,2040-2059,17.606720406250002
8,2060-2079,18.136371781250002
8,2080-2099,18.3333761875
9,2020-2039,12.915259125000002
9,2040-2059,13.238308143749999
9,2060-2079,13.885776281250001
9,2080-2099,14.0530106875
10,2020-2039,8.227756125
10,2040-2059,8.834937898749999
10,2060-2079,9.119804825
10,2080-2099,9.387326402500001
11,2020-2039,4.9224064937500005
11,2040-2059,5.0703051375
11,2060-2079,5.5954784625
11,2080-2099,5.79526414375
12,2020-2039,1.9928208125
12,2040-2059,2.464407821875
12,2060-2079,3.02007993125
12,2080-2099,2.953084535
