Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,24.803467812500003
1,2040-2059,25.202915312499997
1,2060-2079,25.438068249999993
1,2080-2099,25.570980875000007
2,2020-2039,24.5120851875
2,2040-2059,24.9119754375
2,2060-2079,25.1342329375
2,2080-2099,25.242747124999998
3,2020-2039,24.657866000000006
3,2040-2059,25.039323250000002
3,2060-2079,25.271745437499998
3,2080-2099,25.4172545
4,2020-2039,25.09057625
4,2040-2059,25.4916339375
4,2060-2079,25.727954375
4,2080-2099,25.863032812500002
5,2020-2039,25.627330875
5,2040-2059,26.004816687499996
5,2060-2079,26.2556081875
5,2080-2099,26.387718375000002
6,2020-2039,26.1591450625
6,2040-2059,26.531489312500003
6,2060-2079,26.784676124999997
6,2080-2099,26.927762312500004
7,2020-2039,26.644822812499996
7,2040-2059,27.038554937500002
7,2060-2079,27.286923624999993
7,2080-2099,27.434107687500003
8,2020-2039,27.112005624999995
8,2040-2059,27.506312875000003
8,2060-2079,27.765598124999997
8,2080-2099,27.919131125000003
9,2020-2039,27.290932375000004
9,2040-2059,27.674216312500004
9,2060-2079,27.95847975
9,2080-2099,28.094784437499996
10,2020-2039,27.03353318749999
10,2040-2059,27.441348937500003
10,2060-2079,27.701942875
10,2080-2099,27.830782937500004
11,2020-2039,26.4463796875
11,2040-2059,26.8563655
11,2060-2079,27.119739562500005
11,2080-2099,27.227078875
12,2020-2039,25.587802875
12,2040-2059,25.955906062499995
12,2060-2079,26.2022874375
12,2080-2099,26.342954000000002
