Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.617970874999997
1,2040-2059,22.1272783125
1,2060-2079,22.536968062499998
1,2080-2099,22.736075875
2,2020-2039,22.088347625
2,2040-2059,22.6057558125
2,2060-2079,23.022277937499997
2,2080-2099,23.199033
3,2020-2039,22.775077562499995
3,2040-2059,23.249469937499995
3,2060-2079,23.720513437500006
3,2080-2099,23.89875825
4,2020-2039,23.244202625
4,2040-2059,23.694275687499996
4,2060-2079,24.1157249375
4,2080-2099,24.282271687500003
5,2020-2039,23.131671437499996
5,2040-2059,23.559320500000002
5,2060-2079,23.954525375
5,2080-2099,24.1203999375
6,2020-2039,22.816156625
6,2040-2059,23.2652751875
6,2060-2079,23.637310874999997
6,2080-2099,23.805523437500007
7,2020-2039,22.738941625
7,2040-2059,23.2029273125
7,2060-2079,23.587143125000004
7,2080-2099,23.739430125
8,2020-2039,23.016286125000004
8,2040-2059,23.4957640625
8,2060-2079,23.906201062500003
8,2080-2099,24.05929825
9,2020-2039,23.42998518750001
9,2040-2059,23.915680937500003
9,2060-2079,24.375115624999996
9,2080-2099,24.52032925
10,2020-2039,23.5104661875
10,2040-2059,23.984611374999993
10,2060-2079,24.4397485
10,2080-2099,24.597794999999998
11,2020-2039,22.9908864375
11,2040-2059,23.480701500000002
11,2060-2079,23.916789062499998
11,2080-2099,24.083589375
12,2020-2039,22.0408679375
12,2040-2059,22.546315874999998
12,2060-2079,22.950677125000002
12,2080-2099,23.136703437499996
