Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,20.397456875000003
1,2040-2059,20.93145225
1,2060-2079,21.2819031875
1,2080-2099,21.503095624999997
2,2020-2039,20.351116499999996
2,2040-2059,20.926886125000003
2,2060-2079,21.241016437499994
2,2080-2099,21.4651234375
3,2020-2039,20.0773685625
3,2040-2059,20.577367625
3,2060-2079,20.982641374999996
3,2080-2099,21.212032687499995
4,2020-2039,18.71694725
4,2040-2059,19.295140437500002
4,2060-2079,19.776843
4,2080-2099,19.98187075
5,2020-2039,16.13402340625
5,2040-2059,16.726461968749998
5,2060-2079,17.2122110625
5,2080-2099,17.477891375
6,2020-2039,13.663106125
6,2040-2059,14.2500415
6,2060-2079,14.69784209375
6,2080-2099,14.9453585
7,2020-2039,13.03618646875
7,2040-2059,13.55881365625
7,2060-2079,14.032548937500001
7,2080-2099,14.190639125000002
8,2020-2039,14.6391410625
8,2040-2059,15.245013812499998
8,2060-2079,15.698093562499999
8,2080-2099,15.861547
9,2020-2039,18.1364751875
9,2040-2059,18.699998437500003
9,2060-2079,19.089786625000002
9,2080-2099,19.273522687499998
10,2020-2039,21.0102479375
10,2040-2059,21.696925624999995
10,2060-2079,22.1404133125
10,2080-2099,22.398675999999995
11,2020-2039,21.251967500000003
11,2040-2059,21.892833
11,2060-2079,22.2974895625
11,2080-2099,22.538456875000005
12,2020-2039,20.629887125000003
12,2040-2059,21.181096249999996
12,2060-2079,21.509294437500003
12,2080-2099,21.771989812499996
