Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,20.444556562499997
1,2040-2059,20.83448625
1,2060-2079,21.363481812499998
1,2080-2099,21.937324500000003
2,2020-2039,20.600390062499994
2,2040-2059,21.0229505625
2,2060-2079,21.521832375000002
2,2080-2099,22.0767196875
3,2020-2039,20.910080125000004
3,2040-2059,21.318878062499998
3,2060-2079,21.8533925
3,2080-2099,22.410750375
4,2020-2039,20.3378945
4,2040-2059,20.86270075
4,2060-2079,21.435986
4,2080-2099,22.0297751875
5,2020-2039,18.2146578125
5,2040-2059,18.774289687499998
5,2060-2079,19.456578500000003
5,2080-2099,20.046766875000003
6,2020-2039,16.18978071875
6,2040-2059,16.752811718750003
6,2060-2079,17.336636
6,2080-2099,18.0467454375
7,2020-2039,15.727885
7,2040-2059,16.289747937500003
7,2060-2079,16.908029968749997
7,2080-2099,17.5243964375
8,2020-2039,17.297456999999998
8,2040-2059,17.792132249999998
8,2060-2079,18.428141125
8,2080-2099,19.0257034375
9,2020-2039,19.573607062500002
9,2040-2059,20.08668975
9,2060-2079,20.6509135
9,2080-2099,21.262404437500003
10,2020-2039,20.827651437500002
10,2040-2059,21.355337437500005
10,2060-2079,21.921270437499995
10,2080-2099,22.612390187499997
11,2020-2039,20.771878562500003
11,2040-2059,21.28509475
11,2060-2079,21.870568874999996
11,2080-2099,22.5100519375
12,2020-2039,20.503102937500003
12,2040-2059,20.9218744375
12,2060-2079,21.49410975
12,2080-2099,22.104792125
