Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,20.908301124999994
1,2040-2059,21.441204625000005
1,2060-2079,21.9401053125
1,2080-2099,22.5538766875
2,2020-2039,22.6161720625
2,2040-2059,23.0796111875
2,2060-2079,23.646895375
2,2080-2099,24.364589812500004
3,2020-2039,24.912910187500003
3,2040-2059,25.421965999999998
3,2060-2079,25.928703812500004
3,2080-2099,26.552385
4,2020-2039,25.857963125
4,2040-2059,26.331038875
4,2060-2079,26.904798062500003
4,2080-2099,27.4344273125
5,2020-2039,25.453952187499997
5,2040-2059,25.867342124999997
5,2060-2079,26.383683562499996
5,2080-2099,26.9246424375
6,2020-2039,24.76606625
6,2040-2059,25.208736937499996
6,2060-2079,25.704821624999997
6,2080-2099,26.255060062499997
7,2020-2039,24.222891375
7,2040-2059,24.6507640625
7,2060-2079,25.1060693125
7,2080-2099,25.6588125
8,2020-2039,23.923611625000003
8,2040-2059,24.338939187500003
8,2060-2079,24.797153062499998
8,2080-2099,25.310109
9,2020-2039,24.0348299375
9,2040-2059,24.473170687500005
9,2060-2079,24.914740812499996
9,2080-2099,25.440565624999998
10,2020-2039,24.012957374999996
10,2040-2059,24.423107124999998
10,2060-2079,24.928559249999996
10,2080-2099,25.4721493125
11,2020-2039,22.355283374999996
11,2040-2059,22.8855895625
11,2060-2079,23.428466125
11,2080-2099,24.053542187499993
12,2020-2039,20.585442625000002
12,2040-2059,21.056602062499998
12,2060-2079,21.641572
12,2080-2099,22.2504104375
