Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.769623937499997
1,2040-2059,21.91800275
1,2060-2079,22.4398656875
1,2080-2099,22.882014624999996
2,2020-2039,21.3956801875
2,2040-2059,21.7372131875
2,2060-2079,22.1576136875
2,2080-2099,22.555079749999997
3,2020-2039,21.818185625
3,2040-2059,22.239402875
3,2060-2079,22.4822991875
3,2080-2099,22.966649187500003
4,2020-2039,23.029295375
4,2040-2059,23.389186374999998
4,2060-2079,23.782552437499998
4,2080-2099,24.1998069375
5,2020-2039,24.698256250000004
5,2040-2059,25.061540375000003
5,2060-2079,25.482843624999997
5,2080-2099,25.940623000000002
6,2020-2039,26.38597625
6,2040-2059,26.748844875
6,2060-2079,27.161839750000002
6,2080-2099,27.666404937499998
7,2020-2039,27.454472187500002
7,2040-2059,27.778871124999995
7,2060-2079,28.207432375
7,2080-2099,28.637149999999995
8,2020-2039,27.822780312499994
8,2040-2059,28.158144937499998
8,2060-2079,28.586291562500005
8,2080-2099,29.061972875000002
9,2020-2039,27.5232069375
9,2040-2059,27.890331749999998
9,2060-2079,28.326412249999997
9,2080-2099,28.80125625
10,2020-2039,26.37766625
10,2040-2059,26.7568845
10,2060-2079,27.208063250000006
10,2080-2099,27.682584999999996
11,2020-2039,24.5794566875
11,2040-2059,24.989781187500004
11,2060-2079,25.413372187500002
11,2080-2099,25.918854562499998
12,2020-2039,22.861917875
12,2040-2059,23.1309356875
12,2060-2079,23.73066875
12,2080-2099,24.1022915625
