Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.073184625
1,2040-2059,21.499061875000002
1,2060-2079,22.110690812500003
1,2080-2099,22.828955499999996
2,2020-2039,20.808254125
2,2040-2059,21.293279875
2,2060-2079,21.851342625
2,2080-2099,22.5845800625
3,2020-2039,20.054739062499998
3,2040-2059,20.552323
3,2060-2079,21.10542325
3,2080-2099,21.788042687500006
4,2020-2039,17.582560562500003
4,2040-2059,18.182160312499995
4,2060-2079,18.820160062499998
4,2080-2099,19.559877125
5,2020-2039,13.68923778125
5,2040-2059,14.294287037499998
5,2060-2079,15.00768866875
5,2080-2099,15.797891437499999
6,2020-2039,10.523762699999999
6,2040-2059,11.211046637499999
6,2060-2079,11.729278875
6,2080-2099,12.62237738125
7,2020-2039,9.861880806250001
7,2040-2059,10.545399968749999
7,2060-2079,11.13784126875
7,2080-2099,11.959260343750001
8,2020-2039,12.0339296125
8,2040-2059,12.377713906250003
8,2060-2079,13.101703562500001
8,2080-2099,13.864425031249997
9,2020-2039,15.6610278125
9,2040-2059,16.13627440625
9,2060-2079,16.801880968749998
9,2080-2099,17.623783375000002
10,2020-2039,18.887132625
10,2040-2059,19.645057875000003
10,2060-2079,20.32836509375
10,2080-2099,21.3031759375
11,2020-2039,20.231176062500005
11,2040-2059,20.910225999999998
11,2060-2079,21.728950812499995
11,2080-2099,22.548098875
12,2020-2039,20.75770184375
12,2040-2059,21.28089025
12,2060-2079,21.950941812499995
12,2080-2099,22.679787499999996
