Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-12.919732374999999
1,2040-2059,-12.351010250000002
1,2060-2079,-11.478084812499999
1,2080-2099,-10.7806665875
2,2020-2039,-10.59251951875
2,2040-2059,-9.9005810125
2,2060-2079,-9.231992575
2,2080-2099,-8.48607801875
3,2020-2039,-5.1040477625
3,2040-2059,-4.432536306250001
3,2060-2079,-3.6976882749999995
3,2080-2099,-2.9890578593750003
4,2020-2039,1.4794834524999996
4,2040-2059,2.1371925750000003
4,2060-2079,2.7186654624999997
4,2080-2099,3.4257966375
5,2020-2039,7.38911911125
5,2040-2059,7.953112224999999
5,2060-2079,8.592225012499998
5,2080-2099,9.27510948125
6,2020-2039,12.33658875
6,2040-2059,12.834762375000002
6,2060-2079,13.602785375
6,2080-2099,14.25455634375
7,2020-2039,15.19720109375
7,2040-2059,15.702105374999999
7,2060-2079,16.4912644375
7,2080-2099,17.158886875000004
8,2020-2039,14.192704437500002
8,2040-2059,14.732365937500001
8,2060-2079,15.5029015
8,2080-2099,16.24337521875
9,2020-2039,9.13482850625
9,2040-2059,9.721279499999998
9,2060-2079,10.455314412500002
9,2080-2099,11.20400685
10,2020-2039,2.29680215625
10,2040-2059,2.8419832624999994
10,2060-2079,3.5287618625
10,2080-2099,4.3436962
11,2020-2039,-5.01380659375
11,2040-2059,-4.3177515875
11,2060-2079,-3.5461702906249997
11,2080-2099,-2.8082378516249995
12,2020-2039,-10.920507150000002
12,2040-2059,-10.213467875000001
12,2060-2079,-9.32984161875
12,2080-2099,-8.48806581875
