Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.234586625
1,2040-2059,21.751575062500002
1,2060-2079,22.326363937500002
1,2080-2099,22.980794874999997
2,2020-2039,21.867622375
2,2040-2059,22.358323249999998
2,2060-2079,22.900130125000004
2,2080-2099,23.505468312500003
3,2020-2039,22.3648663125
3,2040-2059,22.8023506875
3,2060-2079,23.3456843125
3,2080-2099,23.8872734375
4,2020-2039,22.35856
4,2040-2059,22.813792375
4,2060-2079,23.354510687500003
4,2080-2099,23.884990749999996
5,2020-2039,22.0405569375
5,2040-2059,22.4892538125
5,2060-2079,23.001456125
5,2080-2099,23.542512499999997
6,2020-2039,21.605589999999996
6,2040-2059,22.0595580625
6,2060-2079,22.6156003125
6,2080-2099,23.149842625
7,2020-2039,21.447242625
7,2040-2059,21.926371250000003
7,2060-2079,22.430801312499998
7,2080-2099,23.040891312499998
8,2020-2039,21.820436624999996
8,2040-2059,22.326252687499995
8,2060-2079,22.86672325
8,2080-2099,23.4670554375
9,2020-2039,22.32180125
9,2040-2059,22.862298875
9,2060-2079,23.368280624999997
9,2080-2099,23.96534125
10,2020-2039,22.3626471875
10,2040-2059,22.864897312500002
10,2060-2079,23.403396937500005
10,2080-2099,23.9960474375
11,2020-2039,21.989293375
11,2040-2059,22.4967314375
11,2060-2079,23.0677581875
11,2080-2099,23.666331749999998
12,2020-2039,21.4122898125
12,2040-2059,21.904073937499998
12,2060-2079,22.446426874999997
12,2080-2099,23.0843740625
