Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,22.0384199375
1,2040-2059,22.410467625000003
1,2060-2079,22.815683874999998
1,2080-2099,23.2694078125
2,2020-2039,21.6969030625
2,2040-2059,22.010881937499995
2,2060-2079,22.497276624999994
2,2080-2099,22.931490937500005
3,2020-2039,21.811507562499997
3,2040-2059,22.1775
3,2060-2079,22.5342415625
3,2080-2099,23.075047500000004
4,2020-2039,22.103376937499995
4,2040-2059,22.4365511875
4,2060-2079,22.745652937499994
4,2080-2099,23.282741125000005
5,2020-2039,22.5107175
5,2040-2059,22.880665375000003
5,2060-2079,23.156644812499998
5,2080-2099,23.675882374999997
6,2020-2039,23.238605937499997
6,2040-2059,23.627636499999998
6,2060-2079,23.952360687500004
6,2080-2099,24.413989875
7,2020-2039,24.250881625
7,2040-2059,24.695917437500004
7,2060-2079,25.051230625
7,2080-2099,25.514253499999995
8,2020-2039,25.156044062499998
8,2040-2059,25.570547
8,2060-2079,25.966127999999998
8,2080-2099,26.412307187499998
9,2020-2039,25.555874374999995
9,2040-2059,25.94107275
9,2060-2079,26.35327875
9,2080-2099,26.832629999999998
10,2020-2039,25.4268540625
10,2040-2059,25.840929125
10,2060-2079,26.249812437499997
10,2080-2099,26.697754062500003
11,2020-2039,24.592487875000007
11,2040-2059,24.97336975
11,2060-2079,25.3839614375
11,2080-2099,25.844537562500005
12,2020-2039,23.1899318125
12,2040-2059,23.542152437500004
12,2060-2079,23.976860875000003
12,2080-2099,24.44613325
