Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,16.276827406250003
1,2040-2059,16.669280906250002
1,2060-2079,17.314151250000002
1,2080-2099,17.9432515625
2,2020-2039,17.5692988125
2,2040-2059,17.971686625
2,2060-2079,18.5799595
2,2080-2099,19.2041296875
3,2020-2039,19.2882569375
3,2040-2059,19.744271812500006
3,2060-2079,20.355727875
3,2080-2099,20.9266760625
4,2020-2039,20.283911375000002
4,2040-2059,20.8011684375
4,2060-2079,21.2852818125
4,2080-2099,21.913646624999995
5,2020-2039,20.3212774375
5,2040-2059,20.808572124999998
5,2060-2079,21.299655937500003
5,2080-2099,21.967511937499996
6,2020-2039,20.02861025
6,2040-2059,20.513555437500003
6,2060-2079,21.055497562499998
6,2080-2099,21.705177187500002
7,2020-2039,19.5179795625
7,2040-2059,19.987185875
7,2060-2079,20.4985450625
7,2080-2099,21.108361000000002
8,2020-2039,19.452633125
8,2040-2059,19.908608249999997
8,2060-2079,20.429523625
8,2080-2099,20.982684375
9,2020-2039,19.5676364375
9,2040-2059,20.111767312500007
9,2060-2079,20.5566194375
9,2080-2099,21.1377211875
10,2020-2039,18.8641310625
10,2040-2059,19.4121784375
10,2060-2079,19.913434062500002
10,2080-2099,20.537741249999996
11,2020-2039,17.625625999999997
11,2040-2059,18.0666384375
11,2060-2079,18.643113125
11,2080-2099,19.250155062500003
12,2020-2039,16.36303025
12,2040-2059,16.89800303125
12,2060-2079,17.445236124999997
12,2080-2099,18.083658156249996
