Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,4.05023729375
1,2040-2059,4.35405135
1,2060-2079,4.833008775
1,2080-2099,5.2886517981250005
2,2020-2039,4.1166929437499995
2,2040-2059,4.554473925
2,2060-2079,4.8612721625
2,2080-2099,5.2272917990625
3,2020-2039,5.00356503125
3,2040-2059,5.499107756249999
3,2060-2079,5.794049083199999
3,2080-2099,6.2003913
4,2020-2039,7.024676618749999
4,2040-2059,7.46465378125
4,2060-2079,7.642220556249999
4,2080-2099,8.270486131250001
5,2020-2039,9.9406418875
5,2040-2059,10.418921093749997
5,2060-2079,10.86896760625
5,2080-2099,11.51690748125
6,2020-2039,13.695006000000001
6,2040-2059,14.038581687499999
6,2060-2079,14.54663725
6,2080-2099,15.26512221875
7,2020-2039,16.0083101875
7,2040-2059,16.66364271875
7,2060-2079,17.306464875
7,2080-2099,18.2967351875
8,2020-2039,15.638361500000002
8,2040-2059,16.3405121875
8,2060-2079,17.0647544375
8,2080-2099,17.981942437500003
9,2020-2039,13.0668356875
9,2040-2059,13.776308624999999
9,2060-2079,14.319837843749998
9,2080-2099,15.0450065625
10,2020-2039,9.73454296875
10,2040-2059,10.1569589625
10,2060-2079,10.531245712499999
10,2080-2099,11.15593239375
11,2020-2039,6.803170046875
11,2040-2059,7.239889885625
11,2060-2079,7.451599287500001
11,2080-2099,8.222885725
12,2020-2039,4.90561189375
12,2040-2059,5.420944025000001
12,2060-2079,5.7892936603125005
12,2080-2099,6.376579447499999
