Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,3.89110819375
1,2040-2059,4.134809525
1,2060-2079,4.562586925
1,2080-2099,4.93987180625
2,2020-2039,3.7084015374999995
2,2040-2059,4.1130575625
2,2060-2079,4.2845431375
2,2080-2099,4.690438765625001
3,2020-2039,4.2687898437500005
3,2040-2059,4.707153031250001
3,2060-2079,4.84411521
3,2080-2099,5.248112571250001
4,2020-2039,5.7884839687500005
4,2040-2059,6.21240923125
4,2060-2079,6.325161025000001
4,2080-2099,6.8726344812499995
5,2020-2039,8.4305793625
5,2040-2059,8.823221618749999
5,2060-2079,9.132308606250001
5,2080-2099,9.568548618749999
6,2020-2039,11.547979043749999
6,2040-2059,11.9779765875
6,2060-2079,12.211081243749998
6,2080-2099,12.756078143749999
7,2020-2039,13.6595265625
7,2040-2059,14.14090340625
7,2060-2079,14.598974874999998
7,2080-2099,15.29894125
8,2020-2039,13.537455031250001
8,2040-2059,13.999278624999997
8,2060-2079,14.508026812499999
8,2080-2099,15.13958140625
9,2020-2039,11.542858787500002
9,2040-2059,12.125655281250003
9,2060-2079,12.443254531249998
9,2080-2099,13.063038393750002
10,2020-2039,8.90796263125
10,2040-2059,9.238123275
10,2060-2079,9.610978281250002
10,2080-2099,10.1111823375
11,2020-2039,6.291068460625
11,2040-2059,6.758971565625001
11,2060-2079,6.984686099999999
11,2080-2099,7.4617287249999995
12,2020-2039,4.846924725
12,2040-2059,5.242291065
12,2060-2079,5.413411410000001
12,2080-2099,5.9511718081249985
