Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,22.402521374999996
1,2040-2059,22.886179124999998
1,2060-2079,23.326462874999997
1,2080-2099,23.831972875
2,2020-2039,22.670138875
2,2040-2059,23.231195624999998
2,2060-2079,23.677456562499998
2,2080-2099,24.116412062499997
3,2020-2039,23.233523687499996
3,2040-2059,23.735201312500003
3,2060-2079,24.237166875
3,2080-2099,24.7255784375
4,2020-2039,23.438751
4,2040-2059,23.908571875
4,2060-2079,24.423291437499998
4,2080-2099,24.943163937500003
5,2020-2039,23.2502613125
5,2040-2059,23.718379062500002
5,2060-2079,24.1564090625
5,2080-2099,24.646307562500002
6,2020-2039,23.1185686875
6,2040-2059,23.5682635
6,2060-2079,24.056378062500002
6,2080-2099,24.551594875
7,2020-2039,23.187625875000002
7,2040-2059,23.67696925
7,2060-2079,24.211715562499997
7,2080-2099,24.7378816875
8,2020-2039,23.513220750000002
8,2040-2059,24.068592
8,2060-2079,24.6888054375
8,2080-2099,25.1807095625
9,2020-2039,24.022806937499997
9,2040-2059,24.719481875000003
9,2060-2079,25.2896576875
9,2080-2099,25.8822020625
10,2020-2039,24.240879624999994
10,2040-2059,24.836294187500002
10,2060-2079,25.461799187500002
10,2080-2099,26.034548500000003
11,2020-2039,23.761857250000006
11,2040-2059,24.2955371875
11,2060-2079,24.861473499999995
11,2080-2099,25.3950525625
12,2020-2039,22.790913
12,2040-2059,23.340629125
12,2060-2079,23.826393875
12,2080-2099,24.31963325
