Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-0.33588123875
1,2040-2059,0.27185601674999993
1,2060-2079,0.6450142725
1,2080-2099,1.035804020625
2,2020-2039,0.10224032812499999
2,2040-2059,0.7090587924999999
2,2060-2079,1.254353934375
2,2080-2099,1.434132671875
3,2020-2039,2.2808651575
3,2040-2059,2.91845846875
3,2060-2079,3.306582039375
3,2080-2099,3.6901289124999996
4,2020-2039,6.114518283750001
4,2040-2059,6.742367293125
4,2060-2079,6.960707118750001
4,2080-2099,7.558710514375001
5,2020-2039,10.573313856250001
5,2040-2059,11.034749718750001
5,2060-2079,11.56025986875
5,2080-2099,12.17090166875
6,2020-2039,14.954743718749999
6,2040-2059,15.480631937500002
6,2060-2079,16.0714210625
6,2080-2099,16.71032434375
7,2020-2039,17.280027687500002
7,2040-2059,17.942131281249996
7,2060-2079,18.612135125
7,2080-2099,19.465653625
8,2020-2039,16.13011975
8,2040-2059,16.873238937500002
8,2060-2079,17.701353375
8,2080-2099,18.6385383125
9,2020-2039,12.319784650000003
9,2040-2059,12.975014156250001
9,2060-2079,13.5484936875
9,2080-2099,14.405170875
10,2020-2039,7.76056806875
10,2040-2059,8.287268262500001
10,2060-2079,8.61164393125
10,2080-2099,9.39012835625
11,2020-2039,3.6807363624999994
11,2040-2059,4.11986215
11,2060-2079,4.42440001875
11,2080-2099,5.253243656250001
12,2020-2039,0.8250168065437501
12,2040-2059,1.599804146875
12,2060-2079,1.772187366875
12,2080-2099,2.6447776250000006
