Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,9.43368730625
1,2040-2059,9.8608775625
1,2060-2079,10.193480300000001
1,2080-2099,10.855960212500001
2,2020-2039,9.994986375000002
2,2040-2059,10.35235471875
2,2060-2079,10.8776652
2,2080-2099,11.332970812499997
3,2020-2039,11.796505612500003
3,2040-2059,12.246325099999998
3,2060-2079,12.711161962499997
3,2080-2099,13.2264641875
4,2020-2039,14.519034624999998
4,2040-2059,15.018437718749999
4,2060-2079,15.489088937500002
4,2080-2099,16.038877499999998
5,2020-2039,17.677158031250002
5,2040-2059,18.178100062500004
5,2060-2079,18.741929562500005
5,2080-2099,19.4295100625
6,2020-2039,21.2685651875
6,2040-2059,21.8589254375
6,2060-2079,22.466643312499997
6,2080-2099,23.10188125
7,2020-2039,23.849510374999998
7,2040-2059,24.502069124999995
7,2060-2079,25.106836625
7,2080-2099,25.816267125
8,2020-2039,24.607683187499998
8,2040-2059,25.256677437499995
8,2060-2079,25.9071925625
8,2080-2099,26.59091525
9,2020-2039,22.62668125
9,2040-2059,23.328610812500003
9,2060-2079,23.935677062499998
9,2080-2099,24.7492974375
10,2020-2039,19.101492000000004
10,2040-2059,19.6450209375
10,2060-2079,20.262478812500003
10,2080-2099,21.10877725
11,2020-2039,14.458083374999998
11,2040-2059,14.91865909375
11,2060-2079,15.573822374999997
11,2080-2099,16.227094125
12,2020-2039,10.74250581875
12,2040-2059,11.266295275
12,2060-2079,11.83589090625
12,2080-2099,12.436994393749998
