Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,10.649756187500001
1,2040-2059,11.02096803125
1,2060-2079,11.3658488875
1,2080-2099,11.994097343750001
2,2020-2039,10.86639585
2,2040-2059,11.19659296875
2,2060-2079,11.73008243125
2,2080-2099,12.1312981875
3,2020-2039,12.227864500000003
3,2040-2059,12.681132375
3,2060-2079,13.16697465625
3,2080-2099,13.6414105625
4,2020-2039,14.662005749999999
4,2040-2059,15.168215156250001
4,2060-2079,15.580219687500001
4,2080-2099,16.13445184375
5,2020-2039,17.6650690625
5,2040-2059,18.1686665
5,2060-2079,18.681530624999997
5,2080-2099,19.369910750000003
6,2020-2039,21.348785375
6,2040-2059,21.9493616875
6,2060-2079,22.5123099375
6,2080-2099,23.154622187500003
7,2020-2039,24.227956062500002
7,2040-2059,24.824690812500005
7,2060-2079,25.3893525625
7,2080-2099,26.0636943125
8,2020-2039,25.158854874999996
8,2040-2059,25.7471218125
8,2060-2079,26.352028
8,2080-2099,26.992154687500005
9,2020-2039,23.2839944375
9,2040-2059,23.935281874999998
9,2060-2079,24.540471874999998
9,2080-2099,25.3280504375
10,2020-2039,19.827486187500003
10,2040-2059,20.368191750000005
10,2060-2079,20.943672062499996
10,2080-2099,21.770870000000006
11,2020-2039,15.45668146875
11,2040-2059,15.895574437499999
11,2060-2079,16.51087221875
11,2080-2099,17.1669096875
12,2020-2039,11.98950490625
12,2040-2059,12.4934257375
12,2060-2079,13.029447906249999
12,2080-2099,13.6031964375
